"id","grade","reviewer","mathQaStatus","terminologyQaStatus","sourceDistanceStatus","decision","p2IssueCodes","notes"
"hjb-high-ds-v4-s4-355","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s4-385","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s4-387","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-391","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s4-397","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s4-400","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-409","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-418","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s4-421","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s4-432","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-436","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-439","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-486","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-488","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-002","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s5-004","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s5-006","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s5-010","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s5-012","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s5-014","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s5-019","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-026","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s5-032","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-034","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-038","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s5-043","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-048","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s5-052","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s5-054","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s5-062","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s5-064","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s5-070","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-072","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s5-084","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s5-086","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-102","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s5-128","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s5-130","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s5-132","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s5-134","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s5-136","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s5-140","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s5-150","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-156","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s5-163","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s5-172","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s5-174","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-178","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s5-184","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s5-190","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s5-198","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s5-200","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s5-202","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s5-205","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s5-208","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-214","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-217","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s5-228","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-229","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s5-250","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s5-280","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-285","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-289","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s5-297","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-301","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s5-322","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s5-328","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s5-331","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s5-337","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s5-341","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-344","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-358","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s5-361","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-365","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-370","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s5-371","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-388","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s5-400","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s5-406","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s5-407","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-420","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-436","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-442","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-443","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-447","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-466","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-490","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s5-498","S5","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s6-003","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s6-008","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s6-016","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s6-024","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s6-034","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s6-040","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s6-042","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s6-051","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s6-062","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s6-066","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s6-078","S6","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
