id,grade,topicId,topicTitleZhHans,volume,chapter,conceptIds,difficulty,type,promptZhHans,optionsZhHans,answer,acceptedAnswers,explanationZhHans,evidenceCardIds,examPatternCardIds,sourceDistanceStatus,mathQaStatus,terminologyQaStatus,reviewNotes
hjb-high-ds-v4-s4-011,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Foundation,fill-in,"V4修复变式0011：填空：设集合 A={1,2,3,...,32}，集合 B 为其中能被 8 整除的数。求集合 B 的元素个数。",,4,4,B 中元素为不超过 32 的 8 的倍数，共 floor(32/8)=4 个。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,V4 remediated candidate row; prompt prefix normalized from frozen V4 baseline to clear exact-duplicate gate while preserving row mathematics. S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-012,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Exam,short-answer,"V4修复变式0012：解答：设集合 A={1,2,3,...,89}，B 为 A 中能被 6 整除的数，C 为 A 中能被 7 整除的数。求只属于 B 和 C 中一个集合的元素个数。",,22,22,|B|=floor(89/6)=14，|C|=floor(89/7)=12，|B∩C|=floor(89/42)=2。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=22。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual-re-review,pending-manual-re-review,V4 remediated candidate row; issue classes addressed: difficulty-rigor-p2 | set-richness. Original V4 package remains frozen; S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-013,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Core,multiple-choice,"V4修复变式0013：选择：设集合 A={1,2,3,...,18}，集合 B 为其中能被 4 整除的数。求集合 B 的元素个数。",5 | 3 | 4 | 6,4,4,B 中元素为不超过 18 的 4 的倍数，共 floor(18/4)=4 个。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,V4 remediated candidate row; prompt prefix normalized from frozen V4 baseline to clear exact-duplicate gate while preserving row mathematics. S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-014,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Challenge,fill-in,"V4修复变式0014：填空：设集合 A={1,2,3,...,34}，B 为 A 中能被 8 整除的数，C 为 A 中能被 9 整除的数。求只属于 B 和 C 中一个集合的元素个数。",,7,7,|B|=floor(34/8)=4，|C|=floor(34/9)=3，|B∩C|=floor(34/72)=0。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=7。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual-re-review,pending-manual-re-review,V4 remediated candidate row; issue classes addressed: difficulty-rigor-p2 | set-richness. Original V4 package remains frozen; S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-015,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Foundation,short-answer,"V4修复变式0015：解答：设集合 A={1,2,3,...,58}，集合 B 为其中能被 12 整除的数。求集合 B 的元素个数。",,4,4,B 中元素为不超过 58 的 12 的倍数，共 floor(58/12)=4 个。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,V4 remediated candidate row; prompt prefix normalized from frozen V4 baseline to clear exact-duplicate gate while preserving row mathematics. S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-016,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Exam,multiple-choice,"V4修复变式0016：选择：设集合 A={1,2,3,...,57}，B 为 A 中能被 5 整除的数，C 为 A 中能被 6 整除的数。求只属于 B 和 C 中一个集合的元素个数。",19 | 17 | 20 | 18,18,18,|B|=floor(57/5)=11，|C|=floor(57/6)=9，|B∩C|=floor(57/30)=1。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=18。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual-re-review,pending-manual-re-review,V4 remediated candidate row; issue classes addressed: difficulty-rigor-p2 | set-richness. Original V4 package remains frozen; S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-017,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Core,fill-in,"V4修复变式0017：填空：设集合 A={1,2,3,...,25}，集合 B 为其中能被 6 整除的数。求集合 B 的元素个数。",,4,4,B 中元素为不超过 25 的 6 的倍数，共 floor(25/6)=4 个。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,V4 remediated candidate row; prompt prefix normalized from frozen V4 baseline to clear exact-duplicate gate while preserving row mathematics. S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-018,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Challenge,short-answer,"V4修复变式0018：解答：设集合 A={1,2,3,...,49}，B 为 A 中能被 4 整除的数，C 为 A 中能被 5 整除的数。求只属于 B 和 C 中一个集合的元素个数。",,17,17,|B|=floor(49/4)=12，|C|=floor(49/5)=9，|B∩C|=floor(49/20)=2。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=17。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual-re-review,pending-manual-re-review,V4 remediated candidate row; issue classes addressed: difficulty-rigor-p2 | set-richness. Original V4 package remains frozen; S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-019,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Foundation,multiple-choice,"V4修复变式0019：选择：设集合 A={1,2,3,...,63}，集合 B 为其中能被 4 整除的数。求集合 B 的元素个数。",15 | 16 | 14 | 17,15,15,B 中元素为不超过 63 的 4 的倍数，共 floor(63/4)=15 个。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,V4 remediated candidate row; prompt prefix normalized from frozen V4 baseline to clear exact-duplicate gate while preserving row mathematics. S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-020,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Exam,fill-in,"V4修复变式0020：填空：设集合 A={1,2,3,...,37}，B 为 A 中能被 3 整除的数，C 为 A 中能被 4 整除的数。求只属于 B 和 C 中一个集合的元素个数。",,15,15,|B|=floor(37/3)=12，|C|=floor(37/4)=9，|B∩C|=floor(37/12)=3。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=15。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual-re-review,pending-manual-re-review,V4 remediated candidate row; issue classes addressed: difficulty-rigor-p2 | set-richness. Original V4 package remains frozen; S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-021,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Core,short-answer,"V4修复变式0021：解答：设集合 A={1,2,3,...,18}，集合 B 为其中能被 2 整除的数。求集合 B 的元素个数。",,9,9,B 中元素为不超过 18 的 2 的倍数，共 floor(18/2)=9 个。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,V4 remediated candidate row; prompt prefix normalized from frozen V4 baseline to clear exact-duplicate gate while preserving row mathematics. S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-022,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Challenge,multiple-choice,"V4修复变式0022：选择：设集合 A={1,2,3,...,68}，B 为 A 中能被 6 整除的数，C 为 A 中能被 7 整除的数。求只属于 B 和 C 中一个集合的元素个数。",17 | 20 | 18 | 19,18,18,|B|=floor(68/6)=11，|C|=floor(68/7)=9，|B∩C|=floor(68/42)=1。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=18。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual-re-review,pending-manual-re-review,V4 remediated candidate row; issue classes addressed: difficulty-rigor-p2 | set-richness. Original V4 package remains frozen; S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-023,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Foundation,fill-in,"V4修复变式0023：填空：设集合 A={1,2,3,...,18}，集合 B 为其中能被 3 整除的数。求集合 B 的元素个数。",,6,6,B 中元素为不超过 18 的 3 的倍数，共 floor(18/3)=6 个。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,V4 remediated candidate row; prompt prefix normalized from frozen V4 baseline to clear exact-duplicate gate while preserving row mathematics. S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-024,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Exam,short-answer,"V4修复变式0024：解答：设集合 A={1,2,3,...,39}，B 为 A 中能被 3 整除的数，C 为 A 中能被 4 整除的数。求只属于 B 和 C 中一个集合的元素个数。",,16,16,|B|=floor(39/3)=13，|C|=floor(39/4)=9，|B∩C|=floor(39/12)=3。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=16。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual-re-review,pending-manual-re-review,V4 remediated candidate row; issue classes addressed: difficulty-rigor-p2 | set-richness. Original V4 package remains frozen; S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-025,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Core,multiple-choice,"V4修复变式0025：选择：设集合 A={1,2,3,...,67}，集合 B 为其中能被 7 整除的数。求集合 B 的元素个数。",10 | 8 | 11 | 9,9,9,B 中元素为不超过 67 的 7 的倍数，共 floor(67/7)=9 个。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,V4 remediated candidate row; prompt prefix normalized from frozen V4 baseline to clear exact-duplicate gate while preserving row mathematics. S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-026,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Challenge,fill-in,"V4修复变式0026：填空：设集合 A={1,2,3,...,43}，B 为 A 中能被 10 整除的数，C 为 A 中能被 11 整除的数。求只属于 B 和 C 中一个集合的元素个数。",,7,7,|B|=floor(43/10)=4，|C|=floor(43/11)=3，|B∩C|=floor(43/110)=0。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=7。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual-re-review,pending-manual-re-review,V4 remediated candidate row; issue classes addressed: difficulty-rigor-p2 | set-richness. Original V4 package remains frozen; S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-027,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Foundation,short-answer,"V4修复变式0027：解答：设集合 A={1,2,3,...,19}，集合 B 为其中能被 6 整除的数。求集合 B 的元素个数。",,3,3,B 中元素为不超过 19 的 6 的倍数，共 floor(19/6)=3 个。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,V4 remediated candidate row; prompt prefix normalized from frozen V4 baseline to clear exact-duplicate gate while preserving row mathematics. S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-028,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Exam,multiple-choice,"V4修复变式0028：选择：设集合 A={1,2,3,...,43}，B 为 A 中能被 8 整除的数，C 为 A 中能被 9 整除的数。求只属于 B 和 C 中一个集合的元素个数。",9 | 10 | 8 | 11,9,9,|B|=floor(43/8)=5，|C|=floor(43/9)=4，|B∩C|=floor(43/72)=0。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=9。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual-re-review,pending-manual-re-review,V4 remediated candidate row; issue classes addressed: difficulty-rigor-p2 | set-richness. Original V4 package remains frozen; S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-029,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Core,fill-in,"V4修复变式0029：填空：设集合 A={1,2,3,...,43}，集合 B 为其中能被 6 整除的数。求集合 B 的元素个数。",,7,7,B 中元素为不超过 43 的 6 的倍数，共 floor(43/6)=7 个。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,V4 remediated candidate row; prompt prefix normalized from frozen V4 baseline to clear exact-duplicate gate while preserving row mathematics. S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-030,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Challenge,short-answer,"V4修复变式0030：解答：设集合 A={1,2,3,...,65}，B 为 A 中能被 11 整除的数，C 为 A 中能被 12 整除的数。求只属于 B 和 C 中一个集合的元素个数。",,10,10,|B|=floor(65/11)=5，|C|=floor(65/12)=5，|B∩C|=floor(65/132)=0。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=10。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual-re-review,pending-manual-re-review,V4 remediated candidate row; issue classes addressed: difficulty-rigor-p2 | set-richness. Original V4 package remains frozen; S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-031,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Foundation,multiple-choice,"V4修复变式0031：选择：设集合 A={1,2,3,...,59}，集合 B 为其中能被 12 整除的数。求集合 B 的元素个数。",5 | 3 | 4 | 6,4,4,B 中元素为不超过 59 的 12 的倍数，共 floor(59/12)=4 个。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,V4 remediated candidate row; prompt prefix normalized from frozen V4 baseline to clear exact-duplicate gate while preserving row mathematics. S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-032,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Exam,fill-in,"V4修复变式0032：填空：设集合 A={1,2,3,...,37}，B 为 A 中能被 3 整除的数，C 为 A 中能被 4 整除的数。求只属于 B 和 C 中一个集合的元素个数。",,15,15,|B|=floor(37/3)=12，|C|=floor(37/4)=9，|B∩C|=floor(37/12)=3。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=15。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual-re-review,pending-manual-re-review,V4 remediated candidate row; issue classes addressed: difficulty-rigor-p2 | set-richness. Original V4 package remains frozen; S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-033,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Core,short-answer,"V4修复变式0033：解答：设集合 A={1,2,3,...,25}，集合 B 为其中能被 6 整除的数。求集合 B 的元素个数。",,4,4,B 中元素为不超过 25 的 6 的倍数，共 floor(25/6)=4 个。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,V4 remediated candidate row; prompt prefix normalized from frozen V4 baseline to clear exact-duplicate gate while preserving row mathematics. S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-034,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Challenge,multiple-choice,"V4修复变式0034：选择：设集合 A={1,2,3,...,26}，B 为 A 中能被 2 整除的数，C 为 A 中能被 3 整除的数。求只属于 B 和 C 中一个集合的元素个数。",14 | 12 | 15 | 13,13,13,|B|=floor(26/2)=13，|C|=floor(26/3)=8，|B∩C|=floor(26/6)=4。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=13。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual-re-review,pending-manual-re-review,V4 remediated candidate row; issue classes addressed: difficulty-rigor-p2 | set-richness. Original V4 package remains frozen; S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-035,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Foundation,fill-in,"V4修复变式0035：填空：设集合 A={1,2,3,...,22}，集合 B 为其中能被 4 整除的数。求集合 B 的元素个数。",,5,5,B 中元素为不超过 22 的 4 的倍数，共 floor(22/4)=5 个。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,V4 remediated candidate row; prompt prefix normalized from frozen V4 baseline to clear exact-duplicate gate while preserving row mathematics. S18 manual re-review required before app integration.
