"questionId","grade","volume","chapter","type","difficulty","answer","acceptedAnswers","qaStatus","severity","issueCodes","issueDetails","recommendedAction"
"hjb-high-ds-v4-s4-017","S4","必修 第一册","集合与逻辑","fill-in","Core","4","4","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-018","S4","必修 第一册","集合与逻辑","short-answer","Challenge","17","17","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-019","S4","必修 第一册","集合与逻辑","multiple-choice","Foundation","15","15","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-020","S4","必修 第一册","集合与逻辑","fill-in","Exam","15","15","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-021","S4","必修 第一册","集合与逻辑","short-answer","Core","9","9","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-022","S4","必修 第一册","集合与逻辑","multiple-choice","Challenge","18","18","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-023","S4","必修 第一册","集合与逻辑","fill-in","Foundation","6","6","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-024","S4","必修 第一册","集合与逻辑","short-answer","Exam","16","16","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-025","S4","必修 第一册","集合与逻辑","multiple-choice","Core","9","9","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-026","S4","必修 第一册","集合与逻辑","fill-in","Challenge","7","7","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-027","S4","必修 第一册","集合与逻辑","short-answer","Foundation","3","3","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-028","S4","必修 第一册","集合与逻辑","multiple-choice","Exam","9","9","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-029","S4","必修 第一册","集合与逻辑","fill-in","Core","7","7","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-030","S4","必修 第一册","集合与逻辑","short-answer","Challenge","10","10","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-031","S4","必修 第一册","集合与逻辑","multiple-choice","Foundation","4","4","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-032","S4","必修 第一册","集合与逻辑","fill-in","Exam","15","15","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-033","S4","必修 第一册","集合与逻辑","short-answer","Core","4","4","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-034","S4","必修 第一册","集合与逻辑","multiple-choice","Challenge","13","13","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-035","S4","必修 第一册","集合与逻辑","fill-in","Foundation","5","5","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-036","S4","必修 第一册","集合与逻辑","short-answer","Exam","21","21","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-037","S4","必修 第一册","集合与逻辑","multiple-choice","Core","4","4","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-038","S4","必修 第一册","集合与逻辑","fill-in","Challenge","14","14","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-039","S4","必修 第一册","集合与逻辑","short-answer","Foundation","12","12","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-040","S4","必修 第一册","集合与逻辑","multiple-choice","Exam","22","22","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-041","S4","必修 第一册","集合与逻辑","fill-in","Core","9","9","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-042","S4","必修 第一册","集合与逻辑","short-answer","Challenge","20","20","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-043","S4","必修 第一册","集合与逻辑","multiple-choice","Foundation","9","9","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-044","S4","必修 第一册","集合与逻辑","fill-in","Exam","21","21","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-045","S4","必修 第一册","集合与逻辑","short-answer","Core","9","9","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-046","S4","必修 第一册","集合与逻辑","multiple-choice","Challenge","15","15","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-047","S4","必修 第一册","集合与逻辑","fill-in","Foundation","3","3","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-048","S4","必修 第一册","集合与逻辑","short-answer","Exam","5","5","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-049","S4","必修 第一册","集合与逻辑","multiple-choice","Core","11","11","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-050","S4","必修 第一册","集合与逻辑","fill-in","Challenge","21","21","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-051","S4","必修 第一册","等式与不等式","short-answer","Foundation","4","4","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-052","S4","必修 第一册","等式与不等式","multiple-choice","Exam","5","5","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-053","S4","必修 第一册","等式与不等式","fill-in","Core","12","12","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-054","S4","必修 第一册","等式与不等式","short-answer","Challenge","7","7","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-055","S4","必修 第一册","等式与不等式","multiple-choice","Foundation","8","8","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-056","S4","必修 第一册","等式与不等式","fill-in","Exam","4","4","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-057","S4","必修 第一册","等式与不等式","short-answer","Core","6","6","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-058","S4","必修 第一册","等式与不等式","multiple-choice","Challenge","6","6","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-059","S4","必修 第一册","等式与不等式","fill-in","Foundation","8","8","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-060","S4","必修 第一册","等式与不等式","short-answer","Exam","3","3","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-061","S4","必修 第一册","等式与不等式","multiple-choice","Core","11","11","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-062","S4","必修 第一册","等式与不等式","fill-in","Challenge","5","5","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-063","S4","必修 第一册","等式与不等式","short-answer","Foundation","3","3","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-064","S4","必修 第一册","等式与不等式","multiple-choice","Exam","7","7","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-065","S4","必修 第一册","等式与不等式","fill-in","Core","3","3","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-066","S4","必修 第一册","等式与不等式","short-answer","Challenge","4","4","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-067","S4","必修 第一册","等式与不等式","multiple-choice","Foundation","11","11","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-068","S4","必修 第一册","等式与不等式","fill-in","Exam","6","6","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-069","S4","必修 第一册","等式与不等式","short-answer","Core","2","2","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-070","S4","必修 第一册","等式与不等式","multiple-choice","Challenge","3","3","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-071","S4","必修 第一册","等式与不等式","fill-in","Foundation","-5","-5","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-072","S4","必修 第一册","等式与不等式","short-answer","Exam","5","5","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-073","S4","必修 第一册","等式与不等式","multiple-choice","Core","4","4","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-074","S4","必修 第一册","等式与不等式","fill-in","Challenge","7","7","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-075","S4","必修 第一册","等式与不等式","short-answer","Foundation","8","8","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-076","S4","必修 第一册","等式与不等式","multiple-choice","Exam","4","4","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-077","S4","必修 第一册","等式与不等式","fill-in","Core","9","9","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-078","S4","必修 第一册","等式与不等式","short-answer","Challenge","6","6","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-079","S4","必修 第一册","等式与不等式","multiple-choice","Foundation","8","8","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-080","S4","必修 第一册","等式与不等式","fill-in","Exam","3","3","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-081","S4","必修 第一册","等式与不等式","short-answer","Core","10","10","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-082","S4","必修 第一册","等式与不等式","multiple-choice","Challenge","5","5","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-083","S4","必修 第一册","等式与不等式","fill-in","Foundation","8","8","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-084","S4","必修 第一册","等式与不等式","short-answer","Exam","7","7","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-085","S4","必修 第一册","等式与不等式","multiple-choice","Core","13","13","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-086","S4","必修 第一册","等式与不等式","fill-in","Challenge","4","4","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-087","S4","必修 第一册","等式与不等式","short-answer","Foundation","2","2","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-088","S4","必修 第一册","等式与不等式","multiple-choice","Exam","6","6","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-089","S4","必修 第一册","等式与不等式","fill-in","Core","11","11","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-090","S4","必修 第一册","等式与不等式","short-answer","Challenge","3","3","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-091","S4","必修 第一册","等式与不等式","multiple-choice","Foundation","10","10","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-092","S4","必修 第一册","等式与不等式","fill-in","Exam","5","5","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-093","S4","必修 第一册","等式与不等式","short-answer","Core","2","2","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-094","S4","必修 第一册","等式与不等式","multiple-choice","Challenge","7","7","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-095","S4","必修 第一册","等式与不等式","fill-in","Foundation","9","9","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-096","S4","必修 第一册","等式与不等式","short-answer","Exam","4","4","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-097","S4","必修 第一册","等式与不等式","multiple-choice","Core","9","9","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-098","S4","必修 第一册","等式与不等式","fill-in","Challenge","6","6","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-099","S4","必修 第一册","等式与不等式","short-answer","Foundation","11","11","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-100","S4","必修 第一册","等式与不等式","multiple-choice","Exam","3","3","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-101","S4","必修 第一册","幂、指数与对数","fill-in","Core","23","23","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-102","S4","必修 第一册","幂、指数与对数","short-answer","Challenge","29","29","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-103","S4","必修 第一册","幂、指数与对数","multiple-choice","Foundation","18","18","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-104","S4","必修 第一册","幂、指数与对数","fill-in","Exam","37","37","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-105","S4","必修 第一册","幂、指数与对数","short-answer","Core","11","11","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-106","S4","必修 第一册","幂、指数与对数","multiple-choice","Challenge","25","25","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-107","S4","必修 第一册","幂、指数与对数","fill-in","Foundation","7","7","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-108","S4","必修 第一册","幂、指数与对数","short-answer","Exam","41","41","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-109","S4","必修 第一册","幂、指数与对数","multiple-choice","Core","16","16","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-110","S4","必修 第一册","幂、指数与对数","fill-in","Challenge","23","23","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-111","S4","必修 第一册","幂、指数与对数","short-answer","Foundation","19","19","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-112","S4","必修 第一册","幂、指数与对数","multiple-choice","Exam","29","29","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-113","S4","必修 第一册","幂、指数与对数","fill-in","Core","8","8","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-114","S4","必修 第一册","幂、指数与对数","short-answer","Challenge","33","33","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-115","S4","必修 第一册","幂、指数与对数","multiple-choice","Foundation","12","12","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-116","S4","必修 第一册","幂、指数与对数","fill-in","Exam","17","17","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-117","S4","必修 第一册","幂、指数与对数","short-answer","Core","8","8","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-118","S4","必修 第一册","幂、指数与对数","multiple-choice","Challenge","31","31","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-119","S4","必修 第一册","幂、指数与对数","fill-in","Foundation","11","11","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-120","S4","必修 第一册","幂、指数与对数","short-answer","Exam","31","31","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-121","S4","必修 第一册","幂、指数与对数","multiple-choice","Core","17","17","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-122","S4","必修 第一册","幂、指数与对数","fill-in","Challenge","49","49","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-123","S4","必修 第一册","幂、指数与对数","short-answer","Foundation","25","25","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-124","S4","必修 第一册","幂、指数与对数","multiple-choice","Exam","23","23","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-125","S4","必修 第一册","幂、指数与对数","fill-in","Core","10","10","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-126","S4","必修 第一册","幂、指数与对数","short-answer","Challenge","31","31","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-127","S4","必修 第一册","幂、指数与对数","multiple-choice","Foundation","11","11","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-128","S4","必修 第一册","幂、指数与对数","fill-in","Exam","27","27","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-129","S4","必修 第一册","幂、指数与对数","short-answer","Core","10","10","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-130","S4","必修 第一册","幂、指数与对数","multiple-choice","Challenge","21","21","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-131","S4","必修 第一册","幂、指数与对数","fill-in","Foundation","20","20","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-132","S4","必修 第一册","幂、指数与对数","short-answer","Exam","27","27","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-133","S4","必修 第一册","幂、指数与对数","multiple-choice","Core","15","15","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-134","S4","必修 第一册","幂、指数与对数","fill-in","Challenge","27","27","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-135","S4","必修 第一册","幂、指数与对数","short-answer","Foundation","21","21","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-136","S4","必修 第一册","幂、指数与对数","multiple-choice","Exam","43","43","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-137","S4","必修 第一册","幂、指数与对数","fill-in","Core","9","9","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-138","S4","必修 第一册","幂、指数与对数","short-answer","Challenge","39","39","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-139","S4","必修 第一册","幂、指数与对数","multiple-choice","Foundation","20","20","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-140","S4","必修 第一册","幂、指数与对数","fill-in","Exam","21","21","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-141","S4","必修 第一册","幂、指数与对数","short-answer","Core","14","14","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-142","S4","必修 第一册","幂、指数与对数","multiple-choice","Challenge","41","41","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-143","S4","必修 第一册","幂、指数与对数","fill-in","Foundation","10","10","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-144","S4","必修 第一册","幂、指数与对数","short-answer","Exam","43","43","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-145","S4","必修 第一册","幂、指数与对数","multiple-choice","Core","7","7","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-146","S4","必修 第一册","幂、指数与对数","fill-in","Challenge","31","31","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-147","S4","必修 第一册","幂、指数与对数","short-answer","Foundation","13","13","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-148","S4","必修 第一册","幂、指数与对数","multiple-choice","Exam","47","47","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-149","S4","必修 第一册","幂、指数与对数","fill-in","Core","15","15","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-150","S4","必修 第一册","幂、指数与对数","short-answer","Challenge","39","39","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-151","S4","必修 第一册","幂函数、指数函数与对数函数","multiple-choice","Foundation","16","16","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-152","S4","必修 第一册","幂函数、指数函数与对数函数","fill-in","Exam","36","36","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-153","S4","必修 第一册","幂函数、指数函数与对数函数","short-answer","Core","25","25","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-154","S4","必修 第一册","幂函数、指数函数与对数函数","multiple-choice","Challenge","252","252","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-155","S4","必修 第一册","幂函数、指数函数与对数函数","fill-in","Foundation","4","4","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-156","S4","必修 第一册","幂函数、指数函数与对数函数","short-answer","Exam","576","576","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-157","S4","必修 第一册","幂函数、指数函数与对数函数","multiple-choice","Core","81","81","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-158","S4","必修 第一册","幂函数、指数函数与对数函数","fill-in","Challenge","80","80","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-159","S4","必修 第一册","幂函数、指数函数与对数函数","short-answer","Foundation","64","64","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-160","S4","必修 第一册","幂函数、指数函数与对数函数","multiple-choice","Exam","252","252","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-161","S4","必修 第一册","幂函数、指数函数与对数函数","fill-in","Core","64","64","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-162","S4","必修 第一册","幂函数、指数函数与对数函数","short-answer","Challenge","1100","1100","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-163","S4","必修 第一册","幂函数、指数函数与对数函数","multiple-choice","Foundation","121","121","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-164","S4","必修 第一册","幂函数、指数函数与对数函数","fill-in","Exam","12","12","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-165","S4","必修 第一册","幂函数、指数函数与对数函数","short-answer","Core","121","121","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-166","S4","必修 第一册","幂函数、指数函数与对数函数","multiple-choice","Challenge","576","576","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-167","S4","必修 第一册","幂函数、指数函数与对数函数","fill-in","Foundation","49","49","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-168","S4","必修 第一册","幂函数、指数函数与对数函数","short-answer","Exam","392","392","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-169","S4","必修 第一册","幂函数、指数函数与对数函数","multiple-choice","Core","25","25","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-170","S4","必修 第一册","幂函数、指数函数与对数函数","fill-in","Challenge","392","392","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-171","S4","必修 第一册","幂函数、指数函数与对数函数","short-answer","Foundation","49","49","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-172","S4","必修 第一册","幂函数、指数函数与对数函数","multiple-choice","Exam","1100","1100","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-173","S4","必修 第一册","幂函数、指数函数与对数函数","fill-in","Core","9","9","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-174","S4","必修 第一册","幂函数、指数函数与对数函数","short-answer","Challenge","36","36","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-175","S4","必修 第一册","幂函数、指数函数与对数函数","multiple-choice","Foundation","36","36","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-176","S4","必修 第一册","幂函数、指数函数与对数函数","fill-in","Exam","1100","1100","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-177","S4","必修 第一册","幂函数、指数函数与对数函数","short-answer","Core","64","64","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-178","S4","必修 第一册","幂函数、指数函数与对数函数","multiple-choice","Challenge","1100","1100","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-179","S4","必修 第一册","幂函数、指数函数与对数函数","fill-in","Foundation","36","36","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-180","S4","必修 第一册","幂函数、指数函数与对数函数","short-answer","Exam","150","150","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-181","S4","必修 第一册","幂函数、指数函数与对数函数","multiple-choice","Core","64","64","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v4-s4-182","S4","必修 第一册","幂函数、指数函数与对数函数","fill-in","Challenge","12","12","pass","none","","","Include in S18 pass-sample review before app integration."
