questionId,grade,volume,chapter,topicId,topicZh,questionType,difficulty,batch,promptZh,answer,illustrationTier,wideScopeCandidate,illustrationCategory,reusableTemplateKey,suggestedImageKind,exactMathLabelsNeeded,generationPriority,gptImage2Notes,sourceDistanceStatus,mathQaStatus,terminologyQaStatus,topicOrder
hjb-high-ds-v2-s4-153,S4,必修 第一册,幂函数、指数函数与对数函数,hjb-high-s4-幂函数-指数函数与对数函数,幂函数、指数函数与对数函数,short-answer,Core,hjb-v2,"已知对数函数 f(x) = log_a x (a > 0 且 a ≠ 1) 的图像经过点 (8, 3)，求 f(2) 的值。",1,P1,yes,函数图像/题干显式坐标图,P1:explicit-function-coordinate-graph:short-answer,coordinate-plane graph or explicit visual prompt diagram,"yes: axes, points, function labels, and answer-critical values should be deterministic overlays",1_high,"题干已出现图像/图象/坐标系等视觉信号；GPT Image2 should create only the clean base visual, not exact labels.",passed-auto-source-scan,pending-manual,pending-manual,4
hjb-high-ds-v2-s4-171,S4,必修 第一册,幂函数、指数函数与对数函数,hjb-high-s4-幂函数-指数函数与对数函数,幂函数、指数函数与对数函数,short-answer,Foundation,hjb-v2,"已知幂函数 f(x) = x^α 的图像经过点 (4, 2)，求 f(9) 的值。",3,P1,yes,函数图像/题干显式坐标图,P1:explicit-function-coordinate-graph:short-answer,coordinate-plane graph or explicit visual prompt diagram,"yes: axes, points, function labels, and answer-critical values should be deterministic overlays",1_high,"题干已出现图像/图象/坐标系等视觉信号；GPT Image2 should create only the clean base visual, not exact labels.",passed-auto-source-scan,pending-manual,pending-manual,4
hjb-high-ds-v2-s4-186,S4,必修 第一册,幂函数、指数函数与对数函数,hjb-high-s4-幂函数-指数函数与对数函数,幂函数、指数函数与对数函数,short-answer,Challenge,hjb-v2,"设函数 f(x)=a^x（a>0，a≠1）与 g(x)=log_a x 的图像交于点 P，且点 P 的横坐标在区间 (2,3) 内，求实数 a 的取值范围。",√2 < a ≤ e^(1/e),P1,yes,函数图像/题干显式坐标图,P1:explicit-function-coordinate-graph:short-answer,coordinate-plane graph or explicit visual prompt diagram,"yes: axes, points, function labels, and answer-critical values should be deterministic overlays",1_high,"题干已出现图像/图象/坐标系等视觉信号；GPT Image2 should create only the clean base visual, not exact labels.",passed-auto-source-scan,remediated-pending-final-audit,remediated-pending-final-audit,4
hjb-high-ds-v2-s4-192,S4,必修 第一册,幂函数、指数函数与对数函数,hjb-high-s4-幂函数-指数函数与对数函数,幂函数、指数函数与对数函数,short-answer,Exam,hjb-v2,"已知指数函数 f(x) = a^x (a > 0 且 a ≠ 1) 的图像经过点 (2, 9)。若 f(m) = 27，求 m 的值。",3,P1,yes,函数图像/题干显式坐标图,P1:explicit-function-coordinate-graph:short-answer,coordinate-plane graph or explicit visual prompt diagram,"yes: axes, points, function labels, and answer-critical values should be deterministic overlays",1_high,"题干已出现图像/图象/坐标系等视觉信号；GPT Image2 should create only the clean base visual, not exact labels.",passed-auto-source-scan,pending-manual,pending-manual,4
hjb-high-ds-v1-s4-253,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v1,变式0253：选择：在三角形 ABC 中，若 AB=2，AC=4，求边 AB 与边 AC 的长度乘积。,8,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v1-s4-256,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v1,变式0256：选择：在三角形 ABC 中，若 AB=12，AC=10，求边 AB 与边 AC 的长度乘积。,120,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v1-s4-259,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v1,变式0259：选择：在三角形 ABC 中，若 AB=10，AC=10，求边 AB 与边 AC 的长度乘积。,100,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v1-s4-262,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v1,变式0262：选择：在三角形 ABC 中，若 AB=10，AC=17，且 ∠A=60°，表达式 AB·AC 的值是多少？,170,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v1-s4-265,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v1,变式0265：选择：在三角形 ABC 中，若 AB=7，AC=12，且 ∠A=60°，表达式 AB·AC 的值是多少？,84,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v1-s4-268,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v1,变式0268：选择：在三角形 ABC 中，若 AB=7，AC=14，且 ∠A=60°，表达式 AB·AC 的值是多少？,98,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v1-s4-271,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v1,变式0271：选择：在三角形 ABC 中，若 AB=11，AC=20，且 ∠A=60°，表达式 AB·AC 的值是多少？,220,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v1-s4-274,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v1,变式0274：选择：在三角形 ABC 中，若 AB=2，AC=18，且 ∠A=60°，表达式 AB·AC 的值是多少？,36,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v1-s4-277,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v1,变式0277：选择：在三角形 ABC 中，若 AB=12，AC=17，且 ∠A=60°，表达式 AB·AC 的值是多少？,204,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v1-s4-280,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v1,变式0280：选择：在三角形 ABC 中，若 AB=8，AC=17，且 ∠A=60°，表达式 AB·AC 的值是多少？,136,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v1-s4-283,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v1,变式0283：选择：在三角形 ABC 中，若 AB=12，AC=5，且 ∠A=60°，表达式 AB·AC 的值是多少？,60,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v1-s4-286,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v1,变式0286：选择：在三角形 ABC 中，若 AB=12，AC=17，且 ∠A=60°，表达式 AB·AC 的值是多少？,204,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v1-s4-289,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v1,变式0289：选择：在三角形 ABC 中，若 AB=2，AC=7，且 ∠A=60°，表达式 AB·AC 的值是多少？,14,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v1-s4-292,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v1,变式0292：选择：在三角形 ABC 中，若 AB=7，AC=9，且 ∠A=60°，表达式 AB·AC 的值是多少？,63,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v1-s4-295,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v1,变式0295：选择：在三角形 ABC 中，若 AB=11，AC=8，且 ∠A=60°，表达式 AB·AC 的值是多少？,88,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v1-s4-298,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v1,变式0298：选择：在三角形 ABC 中，若 AB=7，AC=19，且 ∠A=60°，表达式 AB·AC 的值是多少？,133,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v1-s4-301,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v1,变式0301：选择：在三角形 ABC 中，若 AB=7，AC=19，且 ∠A=60°，表达式 AB·AC 的值是多少？,133,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v1-s4-304,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v1,变式0304：选择：在三角形 ABC 中，若 AB=11，AC=7，且 ∠A=60°，表达式 AB·AC 的值是多少？,77,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v1-s4-307,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v1,变式0307：选择：在三角形 ABC 中，若 AB=6，AC=13，且 ∠A=60°，表达式 AB·AC 的值是多少？,78,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v1-s4-310,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v1,变式0310：选择：在三角形 ABC 中，若 AB=6，AC=6，且 ∠A=60°，表达式 AB·AC 的值是多少？,36,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v1-s4-313,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v1,变式0313：选择：在三角形 ABC 中，若 AB=7，AC=20，且 ∠A=60°，表达式 AB·AC 的值是多少？,140,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v2-s4-253,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v2,二轮变式0253：选择：在三角形 ABC 中，若 AB=2，AC=14，求边 AB 与边 AC 的长度乘积。,28,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v2-s4-256,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v2,二轮变式0256：选择：在三角形 ABC 中，若 AB=4，AC=7，求边 AB 与边 AC 的长度乘积。,28,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v2-s4-259,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v2,二轮变式0259：选择：在三角形 ABC 中，若 AB=5，AC=16，求边 AB 与边 AC 的长度乘积。,80,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v2-s4-262,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v2,在三角形 ABC 中，角 A、B、C 的对边分别为 a、b、c。已知 a=7，b=8，且三角形有两解，则角 A 的取值范围是（　）。,0° < A < arcsin(7/8),P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,remediated-pending-final-audit,remediated-pending-final-audit,6
hjb-high-ds-v2-s4-268,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v2,在 △ABC 中，角 A、B、C 的对边分别为 a、b、c，且满足 a cos B = b cos A。则 △ABC 的形状是（　）。,等腰三角形,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,remediated-pending-final-audit,remediated-pending-final-audit,6
hjb-high-ds-v2-s4-271,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v2,二轮变式0271：选择：在三角形 ABC 中，若 AB=10，AC=17，求边 AB 与边 AC 的长度乘积。,170,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v2-s4-274,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v2,二轮变式0274：选择：在三角形 ABC 中，若 AB=5，AC=6，求边 AB 与边 AC 的长度乘积。,30,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v2-s4-277,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v2,二轮变式0277：选择：在三角形 ABC 中，若 AB=12，AC=7，求边 AB 与边 AC 的长度乘积。,84,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v2-s4-280,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v2,二轮变式0280：选择：在三角形 ABC 中，若 AB=5，AC=10，求边 AB 与边 AC 的长度乘积。,50,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v2-s4-283,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v2,二轮变式0283：选择：在三角形 ABC 中，若 AB=3，AC=19，且 ∠A=60°，表达式 AB·AC 的值是多少？,57,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
hjb-high-ds-v2-s4-286,S4,必修 第二册,三角,hjb-high-s4-三角,三角,multiple-choice,Challenge,hjb-v2,二轮变式0286：选择：在三角形 ABC 中，若 AB=4，AC=15，且 ∠A=60°，表达式 AB·AC 的值是多少？,60,P1,yes,平面/三角几何图,P1:plane-triangle-angle-diagram:multiple-choice,"triangle, angle, and plane-geometry diagram","yes: point names, side lengths, angles, area cues, and vector labels should be deterministic overlays",1_high,三角形、角、边长和面积题适合作为 P1；图像模型只做几何构型，标签后加。,passed-auto-source-scan,pending-manual,pending-manual,6
