batch,questionId,grade,topicId,type,difficulty,qualityScore,knowledgeMatchScore,solvabilityScore,overallScore,evidenceCardIds,examPatternCardIds,riskFlags,reviewRecommendation
seed-v1,pep-high-s4-mc-044,S4,pep-high-s4-exp-log,multiple-choice,Exam,74,100,100,91.3,pep-high-exponential-logarithmic-functions|pep-high-function-zero-modeling,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-045,S4,pep-high-s4-trigonometry,multiple-choice,Exam,74,100,100,91.3,pep-high-trigonometric-functions|pep-high-trigonometric-identities-transformations,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-046,S4,pep-high-s4-plane-vectors,multiple-choice,Core,74,100,100,91.3,pep-high-plane-vectors|pep-high-sine-cosine-theorems,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-047,S4,pep-high-s4-complex-numbers,multiple-choice,Core,100,100,100,100,pep-high-complex-numbers,,,pass
seed-v1,pep-high-s4-mc-048,S4,pep-high-s4-solid-geometry-intro,multiple-choice,Exam,92,100,100,97.3,pep-high-solid-geometry-intro,,near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-049,S4,pep-high-s4-statistics,multiple-choice,Core,74,100,100,91.3,pep-high-statistics|pep-high-statistics-sampling-estimation,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-050,S4,pep-high-s4-probability,multiple-choice,Exam,74,100,100,91.3,pep-high-probability|pep-high-probability-event-operations,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-051,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,92,100,100,97.3,pep-high-sets-logic|pep-high-logic-quantifiers-conditions,,near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-052,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,100,100,100,100,pep-high-quadratic-inequalities|pep-high-basic-inequality-optimization,,,pass
seed-v1,pep-high-s4-mc-053,S4,pep-high-s4-function-properties,multiple-choice,Core,74,100,100,91.3,pep-high-function-concepts-properties,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-054,S4,pep-high-s4-exp-log,multiple-choice,Exam,74,100,100,91.3,pep-high-exponential-logarithmic-functions|pep-high-function-zero-modeling,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-055,S4,pep-high-s4-trigonometry,multiple-choice,Exam,74,100,100,91.3,pep-high-trigonometric-functions|pep-high-trigonometric-identities-transformations,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-056,S4,pep-high-s4-plane-vectors,multiple-choice,Core,74,100,100,91.3,pep-high-plane-vectors|pep-high-sine-cosine-theorems,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-057,S4,pep-high-s4-complex-numbers,multiple-choice,Core,100,100,100,100,pep-high-complex-numbers,,,pass
seed-v1,pep-high-s4-mc-058,S4,pep-high-s4-solid-geometry-intro,multiple-choice,Exam,92,100,100,97.3,pep-high-solid-geometry-intro,,near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-059,S4,pep-high-s4-statistics,multiple-choice,Core,74,100,100,91.3,pep-high-statistics|pep-high-statistics-sampling-estimation,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-060,S4,pep-high-s4-probability,multiple-choice,Exam,74,100,100,91.3,pep-high-probability|pep-high-probability-event-operations,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-061,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,92,100,100,97.3,pep-high-sets-logic|pep-high-logic-quantifiers-conditions,,near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-062,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,100,100,100,100,pep-high-quadratic-inequalities|pep-high-basic-inequality-optimization,,,pass
seed-v1,pep-high-s4-mc-063,S4,pep-high-s4-function-properties,multiple-choice,Core,74,100,100,91.3,pep-high-function-concepts-properties,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-064,S4,pep-high-s4-exp-log,multiple-choice,Exam,74,100,100,91.3,pep-high-exponential-logarithmic-functions|pep-high-function-zero-modeling,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-065,S4,pep-high-s4-trigonometry,multiple-choice,Exam,74,100,100,91.3,pep-high-trigonometric-functions|pep-high-trigonometric-identities-transformations,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-066,S4,pep-high-s4-plane-vectors,multiple-choice,Core,74,100,100,91.3,pep-high-plane-vectors|pep-high-sine-cosine-theorems,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-067,S4,pep-high-s4-complex-numbers,multiple-choice,Core,100,100,100,100,pep-high-complex-numbers,,,pass
seed-v1,pep-high-s4-mc-068,S4,pep-high-s4-solid-geometry-intro,multiple-choice,Exam,92,100,100,97.3,pep-high-solid-geometry-intro,,near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-069,S4,pep-high-s4-statistics,multiple-choice,Core,74,100,100,91.3,pep-high-statistics|pep-high-statistics-sampling-estimation,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-070,S4,pep-high-s4-probability,multiple-choice,Exam,74,100,100,91.3,pep-high-probability|pep-high-probability-event-operations,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-071,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,92,100,100,97.3,pep-high-sets-logic|pep-high-logic-quantifiers-conditions,,near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-072,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,82,100,100,94,pep-high-quadratic-inequalities|pep-high-basic-inequality-optimization,,exact-prompt-duplicate,sample-review
seed-v1,pep-high-s4-mc-073,S4,pep-high-s4-function-properties,multiple-choice,Core,74,100,100,91.3,pep-high-function-concepts-properties,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-074,S4,pep-high-s4-exp-log,multiple-choice,Exam,74,100,100,91.3,pep-high-exponential-logarithmic-functions|pep-high-function-zero-modeling,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-075,S4,pep-high-s4-trigonometry,multiple-choice,Exam,74,100,100,91.3,pep-high-trigonometric-functions|pep-high-trigonometric-identities-transformations,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-076,S4,pep-high-s4-plane-vectors,multiple-choice,Core,74,100,100,91.3,pep-high-plane-vectors|pep-high-sine-cosine-theorems,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-077,S4,pep-high-s4-complex-numbers,multiple-choice,Core,100,100,100,100,pep-high-complex-numbers,,,pass
seed-v1,pep-high-s4-mc-078,S4,pep-high-s4-solid-geometry-intro,multiple-choice,Exam,92,100,100,97.3,pep-high-solid-geometry-intro,,near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-079,S4,pep-high-s4-statistics,multiple-choice,Core,74,100,100,91.3,pep-high-statistics|pep-high-statistics-sampling-estimation,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-080,S4,pep-high-s4-probability,multiple-choice,Exam,74,100,100,91.3,pep-high-probability|pep-high-probability-event-operations,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-081,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,92,100,100,97.3,pep-high-sets-logic|pep-high-logic-quantifiers-conditions,,near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-082,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,82,100,100,94,pep-high-quadratic-inequalities|pep-high-basic-inequality-optimization,,exact-prompt-duplicate,sample-review
seed-v1,pep-high-s4-mc-083,S4,pep-high-s4-function-properties,multiple-choice,Core,74,100,100,91.3,pep-high-function-concepts-properties,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-084,S4,pep-high-s4-exp-log,multiple-choice,Exam,74,100,100,91.3,pep-high-exponential-logarithmic-functions|pep-high-function-zero-modeling,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-085,S4,pep-high-s4-trigonometry,multiple-choice,Exam,74,100,100,91.3,pep-high-trigonometric-functions|pep-high-trigonometric-identities-transformations,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-086,S4,pep-high-s4-plane-vectors,multiple-choice,Core,74,100,100,91.3,pep-high-plane-vectors|pep-high-sine-cosine-theorems,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-087,S4,pep-high-s4-complex-numbers,multiple-choice,Core,100,100,100,100,pep-high-complex-numbers,,,pass
seed-v1,pep-high-s4-mc-088,S4,pep-high-s4-solid-geometry-intro,multiple-choice,Exam,92,100,100,97.3,pep-high-solid-geometry-intro,,near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-089,S4,pep-high-s4-statistics,multiple-choice,Core,74,100,100,91.3,pep-high-statistics|pep-high-statistics-sampling-estimation,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-090,S4,pep-high-s4-probability,multiple-choice,Exam,74,100,100,91.3,pep-high-probability|pep-high-probability-event-operations,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-091,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,92,100,100,97.3,pep-high-sets-logic|pep-high-logic-quantifiers-conditions,,near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-092,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,82,100,100,94,pep-high-quadratic-inequalities|pep-high-basic-inequality-optimization,,exact-prompt-duplicate,sample-review
seed-v1,pep-high-s4-mc-093,S4,pep-high-s4-function-properties,multiple-choice,Core,74,100,100,91.3,pep-high-function-concepts-properties,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-094,S4,pep-high-s4-exp-log,multiple-choice,Exam,74,100,100,91.3,pep-high-exponential-logarithmic-functions|pep-high-function-zero-modeling,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-095,S4,pep-high-s4-trigonometry,multiple-choice,Exam,74,100,100,91.3,pep-high-trigonometric-functions|pep-high-trigonometric-identities-transformations,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-096,S4,pep-high-s4-plane-vectors,multiple-choice,Core,74,100,100,91.3,pep-high-plane-vectors|pep-high-sine-cosine-theorems,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-097,S4,pep-high-s4-complex-numbers,multiple-choice,Core,100,100,100,100,pep-high-complex-numbers,,,pass
seed-v1,pep-high-s4-mc-098,S4,pep-high-s4-solid-geometry-intro,multiple-choice,Exam,92,100,100,97.3,pep-high-solid-geometry-intro,,near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-099,S4,pep-high-s4-statistics,multiple-choice,Core,74,100,100,91.3,pep-high-statistics|pep-high-statistics-sampling-estimation,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-100,S4,pep-high-s4-probability,multiple-choice,Exam,74,100,100,91.3,pep-high-probability|pep-high-probability-event-operations,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-fi-001,S4,pep-high-s4-sets-logic,fill-in,Foundation,92,100,100,97.3,pep-high-sets-logic|pep-high-logic-quantifiers-conditions,,near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-fi-002,S4,pep-high-s4-quadratic-inequalities,fill-in,Exam,100,100,80,93.3,pep-high-quadratic-inequalities|pep-high-basic-inequality-optimization,,answer-not-shown-in-explanation,sample-review
seed-v1,pep-high-s4-fi-003,S4,pep-high-s4-function-properties,fill-in,Core,74,100,100,91.3,pep-high-function-concepts-properties,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-fi-004,S4,pep-high-s4-exp-log,fill-in,Exam,74,100,100,91.3,pep-high-exponential-logarithmic-functions|pep-high-function-zero-modeling,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-fi-005,S4,pep-high-s4-trigonometry,fill-in,Exam,74,100,80,84.7,pep-high-trigonometric-functions|pep-high-trigonometric-identities-transformations,,exact-prompt-duplicate|near-duplicate-template-cluster|answer-not-shown-in-explanation,sample-review
seed-v1,pep-high-s4-fi-006,S4,pep-high-s4-plane-vectors,fill-in,Core,74,100,80,84.7,pep-high-plane-vectors|pep-high-sine-cosine-theorems,,exact-prompt-duplicate|near-duplicate-template-cluster|answer-not-shown-in-explanation,sample-review
seed-v1,pep-high-s4-fi-007,S4,pep-high-s4-complex-numbers,fill-in,Core,100,100,100,100,pep-high-complex-numbers,,,pass
seed-v1,pep-high-s4-fi-008,S4,pep-high-s4-solid-geometry-intro,fill-in,Exam,92,100,80,90.7,pep-high-solid-geometry-intro,,near-duplicate-template-cluster|answer-not-shown-in-explanation,sample-review
seed-v1,pep-high-s4-fi-009,S4,pep-high-s4-statistics,fill-in,Core,74,100,80,84.7,pep-high-statistics|pep-high-statistics-sampling-estimation,,exact-prompt-duplicate|near-duplicate-template-cluster|answer-not-shown-in-explanation,sample-review
seed-v1,pep-high-s4-fi-010,S4,pep-high-s4-probability,fill-in,Exam,74,100,80,84.7,pep-high-probability|pep-high-probability-event-operations,,exact-prompt-duplicate|near-duplicate-template-cluster|answer-not-shown-in-explanation,sample-review
seed-v1,pep-high-s4-fi-011,S4,pep-high-s4-sets-logic,fill-in,Foundation,92,100,100,97.3,pep-high-sets-logic|pep-high-logic-quantifiers-conditions,,near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-fi-012,S4,pep-high-s4-quadratic-inequalities,fill-in,Exam,100,100,80,93.3,pep-high-quadratic-inequalities|pep-high-basic-inequality-optimization,,answer-not-shown-in-explanation,sample-review
seed-v1,pep-high-s4-fi-013,S4,pep-high-s4-function-properties,fill-in,Core,74,100,100,91.3,pep-high-function-concepts-properties,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-fi-014,S4,pep-high-s4-exp-log,fill-in,Exam,74,100,100,91.3,pep-high-exponential-logarithmic-functions|pep-high-function-zero-modeling,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-fi-015,S4,pep-high-s4-trigonometry,fill-in,Exam,74,100,80,84.7,pep-high-trigonometric-functions|pep-high-trigonometric-identities-transformations,,exact-prompt-duplicate|near-duplicate-template-cluster|answer-not-shown-in-explanation,sample-review
seed-v1,pep-high-s4-fi-016,S4,pep-high-s4-plane-vectors,fill-in,Core,74,100,80,84.7,pep-high-plane-vectors|pep-high-sine-cosine-theorems,,exact-prompt-duplicate|near-duplicate-template-cluster|answer-not-shown-in-explanation,sample-review
seed-v1,pep-high-s4-fi-017,S4,pep-high-s4-complex-numbers,fill-in,Core,100,100,80,93.3,pep-high-complex-numbers,,answer-not-shown-in-explanation,sample-review
seed-v1,pep-high-s4-fi-018,S4,pep-high-s4-solid-geometry-intro,fill-in,Exam,92,100,80,90.7,pep-high-solid-geometry-intro,,near-duplicate-template-cluster|answer-not-shown-in-explanation,sample-review
seed-v1,pep-high-s4-fi-019,S4,pep-high-s4-statistics,fill-in,Core,74,100,80,84.7,pep-high-statistics|pep-high-statistics-sampling-estimation,,exact-prompt-duplicate|near-duplicate-template-cluster|answer-not-shown-in-explanation,sample-review
seed-v1,pep-high-s4-fi-020,S4,pep-high-s4-probability,fill-in,Exam,74,100,80,84.7,pep-high-probability|pep-high-probability-event-operations,,exact-prompt-duplicate|near-duplicate-template-cluster|answer-not-shown-in-explanation,sample-review
seed-v1,pep-high-s4-fi-021,S4,pep-high-s4-sets-logic,fill-in,Foundation,92,100,100,97.3,pep-high-sets-logic|pep-high-logic-quantifiers-conditions,,near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-fi-022,S4,pep-high-s4-quadratic-inequalities,fill-in,Exam,100,100,80,93.3,pep-high-quadratic-inequalities|pep-high-basic-inequality-optimization,,answer-not-shown-in-explanation,sample-review
seed-v1,pep-high-s4-fi-023,S4,pep-high-s4-function-properties,fill-in,Core,74,100,100,91.3,pep-high-function-concepts-properties,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-fi-024,S4,pep-high-s4-exp-log,fill-in,Exam,74,100,100,91.3,pep-high-exponential-logarithmic-functions|pep-high-function-zero-modeling,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-fi-025,S4,pep-high-s4-trigonometry,fill-in,Exam,74,100,80,84.7,pep-high-trigonometric-functions|pep-high-trigonometric-identities-transformations,,exact-prompt-duplicate|near-duplicate-template-cluster|answer-not-shown-in-explanation,sample-review
seed-v1,pep-high-s4-fi-026,S4,pep-high-s4-plane-vectors,fill-in,Core,74,100,80,84.7,pep-high-plane-vectors|pep-high-sine-cosine-theorems,,exact-prompt-duplicate|near-duplicate-template-cluster|answer-not-shown-in-explanation,sample-review
seed-v1,pep-high-s4-fi-027,S4,pep-high-s4-complex-numbers,fill-in,Core,100,100,80,93.3,pep-high-complex-numbers,,answer-not-shown-in-explanation,sample-review
seed-v1,pep-high-s4-fi-028,S4,pep-high-s4-solid-geometry-intro,fill-in,Exam,92,100,80,90.7,pep-high-solid-geometry-intro,,near-duplicate-template-cluster|answer-not-shown-in-explanation,sample-review
seed-v1,pep-high-s4-fi-029,S4,pep-high-s4-statistics,fill-in,Core,74,100,80,84.7,pep-high-statistics|pep-high-statistics-sampling-estimation,,exact-prompt-duplicate|near-duplicate-template-cluster|answer-not-shown-in-explanation,sample-review
