sampleReason,questionId,grade,semester,type,difficulty,unitTitle,topicId,promptZhHans,optionsZhHans,answer,explanationZhHans,overallScore,languageScore,diversityScore,canonicalPromptCount,riskFlags
balanced-coverage,pep-primary-p2-u-mc-061,P2,upper,multiple-choice,Foundation,长度、角与观察物体,pep-primary-p2-upper-length-angles-observation,第61小组：一根彩带长54厘米，另一根比它长6厘米。另一根长多少厘米？,60厘米 | 54厘米 | 61厘米 | 48厘米,60厘米,54+6=60，所以另一根长60厘米。,97,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p2-u-mc-090,P2,upper,multiple-choice,Foundation,长度、角与观察物体,pep-primary-p2-upper-length-angles-observation,第90小组：一根彩带长30厘米，另一根比它长11厘米。另一根长多少厘米？,30厘米 | 42厘米 | 19厘米 | 41厘米,41厘米,30+11=41，所以另一根长41厘米。,97,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p2-u-fi-091,P2,upper,fill-in,Foundation,长度、角与观察物体,pep-primary-p2-upper-length-angles-observation,第91小组：一根彩带长34厘米，另一根比它长12厘米。另一根长多少厘米？,,46厘米,34+12=46，所以另一根长46厘米。,97,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p2-u-fi-092,P2,upper,fill-in,Foundation,长度、角与观察物体,pep-primary-p2-upper-length-angles-observation,第92小组：一根彩带长38厘米，另一根比它长13厘米。另一根长多少厘米？,,51厘米,38+13=51，所以另一根长51厘米。,97,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p2-u-fi-093,P2,upper,fill-in,Foundation,长度、角与观察物体,pep-primary-p2-upper-length-angles-observation,第93小组：一根彩带长42厘米，另一根比它长14厘米。另一根长多少厘米？,,56厘米,42+14=56，所以另一根长56厘米。,97,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p2-u-fi-094,P2,upper,fill-in,Foundation,长度、角与观察物体,pep-primary-p2-upper-length-angles-observation,第94小组：一根彩带长46厘米，另一根比它长15厘米。另一根长多少厘米？,,61厘米,46+15=61，所以另一根长61厘米。,97,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p2-u-fi-097,P2,upper,fill-in,Foundation,长度、角与观察物体,pep-primary-p2-upper-length-angles-observation,第97小组：一根彩带长58厘米，另一根比它长6厘米。另一根长多少厘米？,,64厘米,58+6=64，所以另一根长64厘米。,97,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p2-u-fi-100,P2,upper,fill-in,Foundation,长度、角与观察物体,pep-primary-p2-upper-length-angles-observation,第100小组：一根彩带长70厘米，另一根比它长9厘米。另一根长多少厘米？,,79厘米,70+9=79，所以另一根长79厘米。,97,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p2-l-fi-102,P2,lower,fill-in,Foundation,表内除法与有余数除法,pep-primary-p2-lower-division-remainder,第102小组：把24个物品按每组6个分组，商和余数是多少？,,4,6x4+0=24，所以结果是4。,93.5,80,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p2-l-fi-104,P2,lower,fill-in,Foundation,表内除法与有余数除法,pep-primary-p2-lower-division-remainder,第104小组：把64个物品按每组8个分组，商和余数是多少？,,8,8x8+0=64，所以结果是8。,93.5,80,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p2-l-fi-112,P2,lower,fill-in,Foundation,表内除法与有余数除法,pep-primary-p2-lower-division-remainder,第112小组：把6个物品按每组2个分组，商和余数是多少？,,3,2x3+0=6，所以结果是3。,93.5,80,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p2-l-fi-101,P2,lower,fill-in,Foundation,表内除法与有余数除法,pep-primary-p2-lower-division-remainder,第101小组：把46个物品按每组5个分组，商和余数是多少？,,9余1,5x9+1=46，所以结果是9余1。,95,80,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p2-l-fi-124,P2,lower,fill-in,Core,表内除法与有余数除法,pep-primary-p2-lower-division-remainder,第124小组：把47个物品按每组7个分组，商和余数是多少？,,6余5,7x6+5=47，所以结果是6余5。,95,80,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p2-l-fi-147,P2,lower,fill-in,Core,表内除法与有余数除法,pep-primary-p2-lower-division-remainder,第147小组：把7个物品按每组2个分组，商和余数是多少？,,3余1,2x3+1=7，所以结果是3余1。,95.5,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p2-l-sa-171,P2,lower,short-answer,Core,万以内数、质量、时间与数据,pep-primary-p2-lower-place-value-measurement-data,第171小组：在数4357中，百位上的数字是几？,,3,4357中有4个千、3个百、5个十和7个一。,97,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p2-l-sa-172,P2,lower,short-answer,Core,万以内数、质量、时间与数据,pep-primary-p2-lower-place-value-measurement-data,第172小组：在数5604中，百位上的数字是几？,,6,5604中有5个千、6个百、0个十和4个一。,97,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p2-l-sa-173,P2,lower,short-answer,Core,万以内数、质量、时间与数据,pep-primary-p2-lower-place-value-measurement-data,第173小组：在数6951中，百位上的数字是几？,,9,6951中有6个千、9个百、5个十和1个一。,97,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p2-l-sa-181,P2,lower,short-answer,Core,万以内数、质量、时间与数据,pep-primary-p2-lower-place-value-measurement-data,第181小组：在数6357中，百位上的数字是几？,,3,6357中有6个千、3个百、5个十和7个一。,97,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p2-l-sa-191,P2,lower,short-answer,Challenge,万以内数、质量、时间与数据,pep-primary-p2-lower-place-value-measurement-data,第191小组：在数8357中，百位上的数字是几？,,3,8357中有8个千、3个百、5个十和7个一。,97,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p2-l-sa-200,P2,lower,short-answer,Challenge,万以内数、质量、时间与数据,pep-primary-p2-lower-place-value-measurement-data,第200小组：在数1000中，百位上的数字是几？,,0,1000中有1个千、0个百、0个十和0个一。,97,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p3-u-mc-051,P3,upper,multiple-choice,Foundation,测量、年月日与几何,pep-primary-p3-upper-measurement-time-geometry,第51小组：阅读活动从9:00开始，持续30分钟。活动持续了多少分钟？,25分钟 | 9分钟 | 30分钟 | 35分钟,30分钟,题目给出的持续时间就是30分钟。,95.5,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p3-u-mc-052,P3,upper,multiple-choice,Foundation,测量、年月日与几何,pep-primary-p3-upper-measurement-time-geometry,第52小组：阅读活动从10:00开始，持续35分钟。活动持续了多少分钟？,10分钟 | 35分钟 | 40分钟 | 30分钟,35分钟,题目给出的持续时间就是35分钟。,95.5,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p3-u-mc-053,P3,upper,multiple-choice,Foundation,测量、年月日与几何,pep-primary-p3-upper-measurement-time-geometry,第53小组：阅读活动从11:00开始，持续40分钟。活动持续了多少分钟？,40分钟 | 45分钟 | 35分钟 | 11分钟,40分钟,题目给出的持续时间就是40分钟。,95.5,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p3-u-mc-001,P3,upper,multiple-choice,Foundation,多位数运算与分数初步,pep-primary-p3-upper-operations-fractions,第1小组：把一个整体平均分成5份，其中涂色2份。涂色部分占几分之几？,2/5 | 5/2 | 3/5 | 2/6,2/5,平均分成5份作分母，涂色2份作分子，所以是2/5。,97,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p3-u-mc-026,P3,upper,multiple-choice,Foundation,多位数运算与分数初步,pep-primary-p3-upper-operations-fractions,第26小组：把一个整体平均分成5份，其中涂色3份。涂色部分占几分之几？,5/3 | 4/5 | 3/6 | 3/5,3/5,平均分成5份作分母，涂色3份作分子，所以是3/5。,97,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p3-u-mc-075,P3,upper,multiple-choice,Foundation,测量、年月日与几何,pep-primary-p3-upper-measurement-time-geometry,第75小组：阅读活动从8:00开始，持续30分钟。活动持续了多少分钟？,25分钟 | 8分钟 | 30分钟 | 35分钟,30分钟,题目给出的持续时间就是30分钟。,95.5,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p3-u-fi-076,P3,upper,fill-in,Foundation,测量、年月日与几何,pep-primary-p3-upper-measurement-time-geometry,第76小组：阅读活动从9:00开始，持续35分钟。活动持续了多少分钟？,,35分钟,题目给出的持续时间就是35分钟。,95.5,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p3-u-fi-077,P3,upper,fill-in,Foundation,测量、年月日与几何,pep-primary-p3-upper-measurement-time-geometry,第77小组：阅读活动从10:00开始，持续40分钟。活动持续了多少分钟？,,40分钟,题目给出的持续时间就是40分钟。,95.5,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p3-u-fi-078,P3,upper,fill-in,Foundation,测量、年月日与几何,pep-primary-p3-upper-measurement-time-geometry,第78小组：阅读活动从11:00开始，持续45分钟。活动持续了多少分钟？,,45分钟,题目给出的持续时间就是45分钟。,95.5,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p3-u-fi-084,P3,upper,fill-in,Core,测量、年月日与几何,pep-primary-p3-upper-measurement-time-geometry,第84小组：阅读活动从12:00开始，持续35分钟。活动持续了多少分钟？,,35分钟,题目给出的持续时间就是35分钟。,95.5,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p3-u-fi-092,P3,upper,fill-in,Core,测量、年月日与几何,pep-primary-p3-upper-measurement-time-geometry,第92小组：阅读活动从10:00开始，持续35分钟。活动持续了多少分钟？,,35分钟,题目给出的持续时间就是35分钟。,95.5,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p3-u-fi-100,P3,upper,fill-in,Core,测量、年月日与几何,pep-primary-p3-upper-measurement-time-geometry,第100小组：阅读活动从8:00开始，持续35分钟。活动持续了多少分钟？,,35分钟,题目给出的持续时间就是35分钟。,95.5,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p3-l-fi-101,P3,lower,fill-in,Core,面积与小数初步,pep-primary-p3-lower-area-decimals,第101小组：一个长方形长5厘米、宽6厘米，面积是多少？,,30平方厘米,长方形面积=长x宽，5x6=30平方厘米。,97,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p3-l-fi-102,P3,lower,fill-in,Core,面积与小数初步,pep-primary-p3-lower-area-decimals,第102小组：一个长方形长6厘米、宽2厘米，面积是多少？,,12平方厘米,长方形面积=长x宽，6x2=12平方厘米。,97,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p3-l-fi-103,P3,lower,fill-in,Core,面积与小数初步,pep-primary-p3-lower-area-decimals,第103小组：一个长方形长7厘米、宽4厘米，面积是多少？,,28平方厘米,长方形面积=长x宽，7x4=28平方厘米。,97,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p3-l-fi-117,P3,lower,fill-in,Core,面积与小数初步,pep-primary-p3-lower-area-decimals,第117小组：一个长方形长3厘米、宽2厘米，面积是多少？,,6平方厘米,长方形面积=长x宽，3x2=6平方厘米。,97,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p3-l-fi-134,P3,lower,fill-in,Core,面积与小数初步,pep-primary-p3-lower-area-decimals,第134小组：一个长方形长11厘米、宽6厘米，面积是多少？,,66平方厘米,长方形面积=长x宽，11x6=66平方厘米。,97,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p3-l-fi-150,P3,lower,fill-in,Core,面积与小数初步,pep-primary-p3-lower-area-decimals,第150小组：一个长方形长9厘米、宽2厘米，面积是多少？,,18平方厘米,长方形面积=长x宽，9x2=18平方厘米。,97,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p3-l-sa-152,P3,lower,short-answer,Core,统计表达与综合复习,pep-primary-p3-lower-statistics-review,第152小组：求4、6、8这三个数的平均数。,,6,平均数=(4+6+8)÷3=6。,93.5,80,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p3-l-sa-153,P3,lower,short-answer,Core,统计表达与综合复习,pep-primary-p3-lower-statistics-review,第153小组：求5、7、9这三个数的平均数。,,7,平均数=(5+7+9)÷3=7。,93.5,80,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p3-l-sa-154,P3,lower,short-answer,Core,统计表达与综合复习,pep-primary-p3-lower-statistics-review,第154小组：求6、8、10这三个数的平均数。,,8,平均数=(6+8+10)÷3=8。,93.5,80,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p3-l-sa-151,P3,lower,short-answer,Core,统计表达与综合复习,pep-primary-p3-lower-statistics-review,第151小组：求11、13、15这三个数的平均数。,,13,平均数=(11+13+15)÷3=13。,95,80,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p3-l-sa-167,P3,lower,short-answer,Core,统计表达与综合复习,pep-primary-p3-lower-statistics-review,第167小组：求11、13、15这三个数的平均数。,,13,平均数=(11+13+15)÷3=13。,95,80,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p3-l-sa-184,P3,lower,short-answer,Challenge,统计表达与综合复习,pep-primary-p3-lower-statistics-review,第184小组：求4、6、8这三个数的平均数。,,6,平均数=(4+6+8)÷3=6。,93.5,80,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p4-u-mc-001,P4,upper,multiple-choice,Foundation,大数认识与三位数乘法,pep-primary-p4-upper-large-numbers-multiplication,第1小组：计算：13x23=？,299 | 312 | 286 | 36,299,按乘法计算可得13x23=299。,93.5,80,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p4-u-mc-002,P4,upper,multiple-choice,Foundation,大数认识与三位数乘法,pep-primary-p4-upper-large-numbers-multiplication,第2小组：计算：14x26=？,378 | 350 | 40 | 364,364,按乘法计算可得14x26=364。,93.5,80,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p4-u-mc-003,P4,upper,multiple-choice,Foundation,大数认识与三位数乘法,pep-primary-p4-upper-large-numbers-multiplication,第3小组：计算：15x29=？,420 | 44 | 435 | 450,435,按乘法计算可得15x29=435。,93.5,80,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p4-u-mc-026,P4,upper,multiple-choice,Foundation,大数认识与三位数乘法,pep-primary-p4-upper-large-numbers-multiplication,第26小组：计算：20x38=？,780 | 740 | 58 | 760,760,按乘法计算可得20x38=760。,93.5,80,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p4-u-mc-051,P4,upper,multiple-choice,Foundation,角的度量与几何语言,pep-primary-p4-upper-angles-geometry,第51小组：两个角组成一个平角，其中一个角是40°，另一个角是多少度？,150° | 130° | 140° | 40°,140°,平角是180°，所以另一个角是180°-40°=140°。,95,80,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p4-u-mc-075,P4,upper,multiple-choice,Foundation,角的度量与几何语言,pep-primary-p4-upper-angles-geometry,第75小组：两个角组成一个平角，其中一个角是40°，另一个角是多少度？,150° | 130° | 140° | 40°,140°,平角是180°，所以另一个角是180°-40°=140°。,95,80,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p4-u-fi-076,P4,upper,fill-in,Foundation,角的度量与几何语言,pep-primary-p4-upper-angles-geometry,第76小组：两个角组成一个平角，其中一个角是45°，另一个角是多少度？,,135°,平角是180°，所以另一个角是180°-45°=135°。,95,80,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p4-u-fi-077,P4,upper,fill-in,Foundation,角的度量与几何语言,pep-primary-p4-upper-angles-geometry,第77小组：两个角组成一个平角，其中一个角是50°，另一个角是多少度？,,130°,平角是180°，所以另一个角是180°-50°=130°。,95,80,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p4-u-fi-078,P4,upper,fill-in,Foundation,角的度量与几何语言,pep-primary-p4-upper-angles-geometry,第78小组：两个角组成一个平角，其中一个角是55°，另一个角是多少度？,,125°,平角是180°，所以另一个角是180°-55°=125°。,95,80,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p4-u-fi-084,P4,upper,fill-in,Core,角的度量与几何语言,pep-primary-p4-upper-angles-geometry,第84小组：两个角组成一个平角，其中一个角是85°，另一个角是多少度？,,95°,平角是180°，所以另一个角是180°-85°=95°。,97,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p4-u-fi-092,P4,upper,fill-in,Core,角的度量与几何语言,pep-primary-p4-upper-angles-geometry,第92小组：两个角组成一个平角，其中一个角是125°，另一个角是多少度？,,55°,平角是180°，所以另一个角是180°-125°=55°。,95,80,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p4-u-fi-100,P4,upper,fill-in,Core,角的度量与几何语言,pep-primary-p4-upper-angles-geometry,第100小组：两个角组成一个平角，其中一个角是45°，另一个角是多少度？,,135°,平角是180°，所以另一个角是180°-45°=135°。,95,80,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p4-l-fi-108,P4,lower,fill-in,Core,小数运算与平均数,pep-primary-p4-lower-decimals-average,第108小组：计算：1+2=？,,3,小数点对齐计算：1+2=3。,93.5,80,70,100,near-duplicate-template-cluster
balanced-coverage,pep-primary-p4-l-fi-117,P4,lower,fill-in,Core,小数运算与平均数,pep-primary-p4-lower-decimals-average,第117小组：计算：1+2=？,,3,小数点对齐计算：1+2=3。,93.5,80,70,100,near-duplicate-template-cluster
balanced-coverage,pep-primary-p4-l-fi-126,P4,lower,fill-in,Core,小数运算与平均数,pep-primary-p4-lower-decimals-average,第126小组：计算：1+2=？,,3,小数点对齐计算：1+2=3。,93.5,80,70,100,near-duplicate-template-cluster
balanced-coverage,pep-primary-p4-l-fi-101,P4,lower,fill-in,Core,小数运算与平均数,pep-primary-p4-lower-decimals-average,第101小组：计算：1.2+2.4=？,,3.6,小数点对齐计算：1.2+2.4=3.6。,95,80,70,100,near-duplicate-template-cluster
balanced-coverage,pep-primary-p4-l-fi-134,P4,lower,fill-in,Core,小数运算与平均数,pep-primary-p4-lower-decimals-average,第134小组：计算：1.8+2.7=？,,4.5,小数点对齐计算：1.8+2.7=4.5。,95,80,70,100,near-duplicate-template-cluster
balanced-coverage,pep-primary-p4-l-fi-150,P4,lower,fill-in,Core,小数运算与平均数,pep-primary-p4-lower-decimals-average,第150小组：计算：1.6+2.3=？,,3.9,小数点对齐计算：1.6+2.3=3.9。,95,80,70,100,near-duplicate-template-cluster
balanced-coverage,pep-primary-p4-l-sa-151,P4,lower,short-answer,Core,周长面积、平行与垂直,pep-primary-p4-lower-perimeter-area-lines,第151小组：一个长方形长12厘米、宽4厘米，周长是多少？,,32厘米,长方形周长=（长+宽）x2=(12+4)x2=32厘米。,95,80,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p4-l-sa-152,P4,lower,short-answer,Core,周长面积、平行与垂直,pep-primary-p4-lower-perimeter-area-lines,第152小组：一个长方形长13厘米、宽6厘米，周长是多少？,,38厘米,长方形周长=（长+宽）x2=(13+6)x2=38厘米。,95,80,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p4-l-sa-153,P4,lower,short-answer,Core,周长面积、平行与垂直,pep-primary-p4-lower-perimeter-area-lines,第153小组：一个长方形长5厘米、宽8厘米，周长是多少？,,26厘米,长方形周长=（长+宽）x2=(5+8)x2=26厘米。,95,80,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p4-l-sa-167,P4,lower,short-answer,Core,周长面积、平行与垂直,pep-primary-p4-lower-perimeter-area-lines,第167小组：一个长方形长10厘米、宽8厘米，周长是多少？,,36厘米,长方形周长=（长+宽）x2=(10+8)x2=36厘米。,95,80,70,50,near-duplicate-template-cluster
