id,bank,grade,type,gradeAppropriate,solvable,answerCorrect,display,notes
hk-ease-1201,HK/HK_UNITED_PRIME_MIA,S1,fill-in,pass,pass,fail,pass,grader-mixed-number-hole | accepted-alias-wrong-value: answer='1 13/24'=1.5416666666666667; aliases: '113/24'->4.708333333333333 | collapsed mixed-number alias accepts wrong value
hk-ease-1271,HK/HK_UNITED_PRIME_MIA,S1,fill-in,pass,fail,pass,pass,"literal prompt gives -68/161; mixed-number reading gives 2 == stored '2' | prompt shows '68/15÷(9.6-61/3)' — mixed numbers collapsed; literal reading gives -68/161, key 2 only matches '6 8/15 ÷ (9.6 - 6 1/3)'"
bnu-primary-ds-v2-p3-109,MAINLAND/MAINLAND_BNU,P3,multiple-choice,pass,pass,fail,pass,"mc-ambiguous-as-graded: options [0, 1] all grade correct | ALIAS POISON: 0.15米=15厘米; acceptedAnswers include '1.5 cm'/'1.5厘米' == distractor A"
bnu-primary-ds-v2-p4-160,MAINLAND/MAINLAND_BNU,P4,multiple-choice,pass,pass,fail,pass,"mc-ambiguous-as-graded: options [1, 3] all grade correct | accepted-alias-wrong-value: answer='5.06'=5.06; aliases: '50.6'->50.6 | ALIAS POISON: 五点零六=5.06; acceptedAnswers include '50.6' == distractor D"
bnu-primary-ds-v2-p4-183,MAINLAND/MAINLAND_BNU,P4,multiple-choice,pass,pass,fail,pass,"mc-ambiguous-as-graded: options [0, 1] all grade correct | ALIAS POISON: 0.8×9.5=7.6元; acceptedAnswers include '76元' == distractor B"
bnu-primary-ds-v2-p4-187,MAINLAND/MAINLAND_BNU,P4,multiple-choice,pass,pass,fail,pass,"mc-ambiguous-as-graded: options [0, 1] all grade correct | ALIAS POISON: 0.6×8.5=5.1元; acceptedAnswers include '51元' == distractor B"
bnu-primary-ds-v2-p5-001,MAINLAND/MAINLAND_BNU,P5,multiple-choice,pass,pass,fail,pass,"mc-ambiguous-as-graded: options [0, 2] all grade correct | ALIAS POISON: 16÷2.5=6.4; acceptedAnswers include '64' == distractor C"
bnu-primary-ds-v2-p5-013,MAINLAND/MAINLAND_BNU,P5,multiple-choice,pass,pass,fail,pass,"mc-ambiguous-as-graded: options [1, 2] all grade correct | ALIAS POISON: 16.5÷2.5=6.6; acceptedAnswers include '66（元）' == distractor C"
bnu-junior-ds-v1-s1-012,MAINLAND/MAINLAND_BNU,S1,fill-in,pass,pass,fail,pass,"cosmetic:figure-reference-without-asset | WRONG KEY: cube net 礼物盒子 row: 礼 is opposite 盒 (1↔3), flaps 开/心 form top-bottom pair; keyed 心"
bnu-junior-ds-v1-s3-461,MAINLAND/MAINLAND_BNU,S3,multiple-choice,pass,pass,fail,pass,"explanation/key arithmetic false: 平均数=(5*2+6*4+7*6+8*5+9*3)/20=7.1 [7.15 != 7.1] | WRONG KEY: keyed '众数是7和8' is false (7 appears 6x, 8 appears 5x → mode is 7 alone); option '中位数是7' is the true statement; explanation also mis-states mean 7.1 (true 7.15)"
hjb-primary-ds-v1-p1-004,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-005,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-006,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-007,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-009,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-010,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-011,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-012,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-013,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-014,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-015,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-016,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-017,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-018,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-019,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-020,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-021,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-022,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-023,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-024,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-025,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-026,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,cosmetic:figure-reference-without-asset | HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-027,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-028,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-029,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-030,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-031,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-032,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-033,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-034,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-035,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-036,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,cosmetic:figure-reference-without-asset | HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-037,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-038,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-039,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-040,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-041,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-042,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-043,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-044,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-045,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-046,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-047,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-048,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-049,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-050,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-051,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-052,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-053,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-055,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-056,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-057,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-058,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-059,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-060,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-061,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-062,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-063,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-064,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-065,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-066,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-067,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-068,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-069,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-070,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-071,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-072,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-073,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-074,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-075,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-076,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-077,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-078,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-079,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-081,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-082,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-084,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-085,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-087,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-088,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-090,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-091,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-093,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-094,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-097,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-098,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-099,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-100,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-101,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-103,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-104,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-105,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-106,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-107,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-108,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-109,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-110,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-111,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-112,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-113,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-114,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-115,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-116,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-117,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-120,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-123,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-124,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-125,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-126,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-127,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-129,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-130,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-131,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-133,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-134,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-135,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-136,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-137,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-139,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-141,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-144,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-145,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-146,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-147,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-148,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-150,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-151,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-154,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-155,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-156,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-157,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-158,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-159,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-160,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-162,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-166,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-168,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-169,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-171,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-172,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-174,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-175,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-176,MAINLAND/MAINLAND_HJB,P1,fill-in,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-177,MAINLAND/MAINLAND_HJB,P1,short-answer,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
hjb-primary-ds-v1-p1-178,MAINLAND/MAINLAND_HJB,P1,multiple-choice,pass,pass,pass,fail-en,HJB machine-mangled English (zh intact)
