sourceBatch,sourceFile,sourceBatchFileId,questionId,grade,semester,unitTitle,topicId,conceptIds,difficulty,type,promptZhHans,optionsZhHans,answer,acceptedAnswers,explanationZhHans,evidenceCardIds,examPatternCardIds,independentAnswer,deterministicMathStatus,mathCorrectnessScore,curriculumFitScore,schemaScore,explanationScore,languageScore,diversityScore,sourceSafetyScore,overallScore,directLaunchCandidate,rewriteRecommended,reviewRecommendation,blockerFlags,riskFlags
deepseek-600,P1-lower-03.json,P1-lower-03,pep-primary-p1-lower-026,P1,lower,图形拼组,,plane-shapes | classification | shape-composition | 平面图形 | within-100-numbers | within-20-regrouping-subtraction | place-value-tens-ones | 20以内退位减法,Foundation,fill-in,用两个完全一样的三角形可以拼成一个什么图形？,,平行四边形（或长方形、正方形）,平行四边形（或长方形、正方形） | 平行四边形 | 长方形 | 正方形 | 平行四边形或长方形 | 平行四边形或正方形,两个完全一样的三角形，通过旋转、平移，可以拼成一个平行四边形。如果三角形是直角三角形，可以拼成长方形或正方形。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-plane-shapes-classification,,manual-required,85,100,100,100,100,100,100,96.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-03.json,P1-lower-03,pep-primary-p1-lower-027,P1,lower,想加算减,,within-20-regrouping-subtraction | making-ten | decompose-subtraction | 20以内退位减法 | within-100-numbers | place-value-tens-ones,Core,short-answer,用“想加算减”的方法计算 12 - 7。因为 7 + __ = 12，所以 12 - 7 = __。,,5，5,5，5,想加算减：想7加几等于12，7+5=12，所以12-7=5。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-20-regrouping-subtraction,,manual-required,75,100,100,85,80,100,100,89.5,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-03.json,P1-lower-03,pep-primary-p1-lower-028,P1,lower,比较大小,,within-100-numbers | place-value-tens-ones | number-order | 100以内数认识 | within-20-regrouping-subtraction | 20以内退位减法,Foundation,multiple-choice,下面哪组数字是按从大到小的顺序排列的？,78，87，96 | 64，46，28 | 91，89，92 | 55，60，50,64，46，28,64，46，28,从大到小排列，数字应该越来越小。64>46>28，符合要求。其他组都不是从大到小。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-place-value,,manual-required,75,100,100,85,100,100,100,91.5,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-03.json,P1-lower-03,pep-primary-p1-lower-029,P1,lower,分类与整理,,renminbi | classification | data-organization | simple-application | 人民币 | within-100-numbers | within-20-regrouping-subtraction | place-value-tens-ones,Core,fill-in,"下表是一（1）班同学最喜欢的水果情况：
苹果：8人，香蕉：5人，草莓：12人，西瓜：9人。
最喜欢草莓的人数比最喜欢苹果的多几人？",,4人,4人 | 4,草莓12人，苹果8人，12-8=4（人），所以最喜欢草莓的人数比最喜欢苹果的多4人。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-money-data-context,,manual-required,85,100,100,100,100,100,100,96.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-03.json,P1-lower-03,pep-primary-p1-lower-030,P1,lower,一年级下册综合复习,,within-100-addition-subtraction | place-value-tens-ones | patterns | 100以内加减法 | within-100-numbers | within-20-regrouping-subtraction | 20以内退位减法,Foundation,short-answer,一（1）班有42人，一（2）班有38人。两个班一共有多少人？一（1）班比一（2）班多多少人？,,一共80人，多4人,"一共80人，多4人 | 80人，4人 | 80,4",总人数：42+38=80（人）；相差人数：42-38=4（人）。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-add-sub-review,,manual-required,75,100,100,85,80,100,100,89.5,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-04.json,P1-lower-04,pep-primary-p1-lower-031,P1,lower,认识平面图形,,plane-shapes | classification | shape-composition | 平面图形 | within-100-numbers | within-20-regrouping-subtraction | place-value-tens-ones | 20以内退位减法,Core,multiple-choice,小丽用彩纸拼了一个图案：她先放了一个红色的圆，然后在圆的右边放了一个蓝色的正方形，最后在正方形下面放了一个黄色的三角形。请问这个图案中一共有几种不同的平面图形？,2种 | 3种 | 4种 | 5种,3种,3种,图案中有圆、正方形和三角形，共3种不同的平面图形。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-plane-shapes-classification,,manual-required,85,100,100,100,100,100,100,96.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-04.json,P1-lower-04,pep-primary-p1-lower-032,P1,lower,解决问题,,within-20-regrouping-subtraction | making-ten | decompose-subtraction | 20以内退位减法 | within-100-numbers | place-value-tens-ones,Foundation,fill-in,计算15 - 8时，小华用“破十法”：先把15分成10和5，10减8等于2，再算2加5等于几？请填出最后的得数。,,7,7 | 七,15 - 8，破十法：10 - 8 = 2，2 + 5 = 7，所以答案是7。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-20-regrouping-subtraction,,manual-required,85,100,100,100,80,100,100,94.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-04.json,P1-lower-04,pep-primary-p1-lower-033,P1,lower,100以内数的认识,,within-100-numbers | place-value-tens-ones | number-order | 100以内数认识 | within-20-regrouping-subtraction | 20以内退位减法,Core,short-answer,用数字卡片摆出57，这个数中“5”在十位上，表示5个十；“7”在个位上，表示7个一。如果要摆出比57大，但十位上的数字和个位上的数字相同的两位数，这个数是多少？,,66,66,比57大且十位和个位数字相同的两位数有66、77、88、99，最小的是66。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-place-value,,manual-required,85,100,100,100,100,100,100,96.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-04.json,P1-lower-04,pep-primary-p1-lower-034,P1,lower,认识人民币,,renminbi | classification | data-organization | simple-application | 人民币 | within-100-numbers | within-20-regrouping-subtraction | place-value-tens-ones,Foundation,multiple-choice,妈妈买了1张5元纸币、2枚1元硬币和3张1角纸币。她一共付了多少钱？,5元2角 | 6元3角 | 7元3角 | 8元2角,7元3角,7元3角,5元 + 2元 = 7元，3角，合起来是7元3角。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-money-data-context,,manual-required,85,100,100,100,100,100,100,96.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-04.json,P1-lower-04,pep-primary-p1-lower-035,P1,lower,找规律,,within-100-addition-subtraction | place-value-tens-ones | patterns | 100以内加减法 | within-100-numbers | within-20-regrouping-subtraction | 20以内退位减法,Core,fill-in,"找出下面数的排列规律，并在括号里填上合适的数：3, 6, 9, 12, ( ), 18。",,15,15,规律是每次加3：3+3=6，6+3=9，9+3=12，12+3=15，15+3=18，所以填15。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-add-sub-review,,manual-required,85,100,100,100,80,100,100,94.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-04.json,P1-lower-04,pep-primary-p1-lower-036,P1,lower,分类观察,,plane-shapes | classification | shape-composition | 平面图形 | within-100-numbers | within-20-regrouping-subtraction | place-value-tens-ones | 20以内退位减法,Foundation,short-answer,老师拿来一些图形卡片，其中有3个长方形、2个正方形、4个三角形和1个圆。请回答：长方形和正方形一共有几个？,,5,5 | 5个,长方形有3个，正方形有2个，3+2=5，所以一共5个。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-plane-shapes-classification,,manual-required,85,100,100,100,100,100,100,96.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-04.json,P1-lower-04,pep-primary-p1-lower-037,P1,lower,20以内退位减法,,within-20-regrouping-subtraction | making-ten | decompose-subtraction | 20以内退位减法 | within-100-numbers | place-value-tens-ones,Core,multiple-choice,下面哪个算式的得数与13 - 6相同？,14 - 8 | 12 - 5 | 11 - 4 | 15 - 9,12 - 5,12 - 5,13 - 6 = 7，12 - 5 = 7，其他选项得数都不是7。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-20-regrouping-subtraction,,manual-required,85,100,100,100,100,100,100,96.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-04.json,P1-lower-04,pep-primary-p1-lower-038,P1,lower,十位和个位,,within-100-numbers | place-value-tens-ones | number-order | 100以内数认识 | within-20-regrouping-subtraction | 20以内退位减法,Foundation,fill-in,一个两位数，十位上的数字是4，个位上的数字比十位上的数字大3。这个数写作（ ）。,,47,47,十位是4，个位比十位大3，即4+3=7，所以这个数是47。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-place-value,,manual-required,85,100,100,100,100,100,100,96.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-04.json,P1-lower-04,pep-primary-p1-lower-039,P1,lower,情境应用,,renminbi | classification | data-organization | simple-application | 人民币 | within-100-numbers | within-20-regrouping-subtraction | place-value-tens-ones,Core,multiple-choice,小明有2张5元纸币和3张1元纸币，他想买一本8元的笔记本，付钱后还剩多少钱？,3元 | 4元 | 5元 | 6元,5元,5元,小明共有5+5+1+1+1=13元，13-8=5元，所以还剩5元。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-money-data-context,,manual-required,85,100,100,100,80,100,100,94.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-04.json,P1-lower-04,pep-primary-p1-lower-040,P1,lower,100以内加减法,,within-100-addition-subtraction | place-value-tens-ones | patterns | 100以内加减法 | within-100-numbers | within-20-regrouping-subtraction | 20以内退位减法,Foundation,fill-in,计算34 + 20时，可以先算30 + 20 = 50，再算50 + ( ) = 54。请填出括号里的数。,,4,4,34分成30和4，30+20=50，50+4=54，所以填4。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-add-sub-review,,manual-required,85,100,100,100,60,100,100,92.3,false,false,sample-review,,manual-math-review-required
