questionId,grade,topicId,type,storedAnswer,acceptedAnswers,independentAnswer,solvableStatus,answerMatchStatus,confidence,issueType,recommendedAction,singleReviewApplied,note
pep-primary-p1-u-mc-001,P1,pep-primary-p1-upper-number-sense,multiple-choice,3,,3,pass,pass,high,none,pass,false,Stage A: 14-11=3，选项中有3，题目清晰可解。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-033,P1,pep-primary-p1-upper-number-sense,multiple-choice,13,,13,pass,pass,high,none,pass,false,Stage A: 总数17，一部分4，另一部分为17-4=13，选项中有13。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-034,P1,pep-primary-p1-upper-number-sense,multiple-choice,17,,17,pass,pass,high,none,pass,false,Stage A: 总数18，一部分1，另一部分为18-1=17，选项中有17。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-035,P1,pep-primary-p1-upper-number-sense,multiple-choice,3,,3,pass,pass,high,none,pass,false,Stage A: 总数19，一部分16，另一部分为19-16=3，选项中有3。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-036,P1,pep-primary-p1-upper-number-sense,multiple-choice,4,,4,pass,pass,high,none,pass,false,Stage A: 总数8，一部分4，另一部分为8-4=4，选项中有4。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-037,P1,pep-primary-p1-upper-number-sense,multiple-choice,1,,1,pass,pass,high,none,pass,false,Stage A: 总数9，一部分8，另一部分为9-8=1，选项中有1。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-038,P1,pep-primary-p1-upper-number-sense,multiple-choice,3,,3,pass,pass,high,none,pass,false,Stage A: 总数10，一部分7，另一部分为10-7=3，选项中有3。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-039,P1,pep-primary-p1-upper-number-sense,multiple-choice,3,,3,pass,pass,high,none,pass,false,Stage A: 总数11，一部分8，另一部分为11-8=3，选项中有3。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-040,P1,pep-primary-p1-upper-number-sense,multiple-choice,1,,1,pass,pass,high,none,pass,false,Stage A: 总数12，一部分11，另一部分为12-11=1，选项中有1。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-041,P1,pep-primary-p1-upper-number-sense,multiple-choice,9,,9,pass,pass,high,none,pass,false,Stage A: 总数13，一部分4，另一部分为13-4=9，选项A正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-042,P1,pep-primary-p1-upper-number-sense,multiple-choice,4,,4,pass,pass,high,none,pass,false,Stage A: 总数14，一部分10，另一部分为14-10=4，选项D正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-043,P1,pep-primary-p1-upper-number-sense,multiple-choice,11,,11,pass,pass,high,none,pass,false,Stage A: 总数15，一部分4，另一部分为15-4=11，选项C正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-044,P1,pep-primary-p1-upper-number-sense,multiple-choice,3,,3,pass,pass,high,none,pass,false,Stage A: 总数16，一部分13，另一部分为16-13=3，选项B正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-045,P1,pep-primary-p1-upper-number-sense,multiple-choice,9,,9,pass,pass,high,none,pass,false,Stage A: 总数17，一部分8，另一部分为17-8=9，选项A正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-046,P1,pep-primary-p1-upper-number-sense,multiple-choice,15,,15,pass,pass,high,none,pass,false,Stage A: 总数18，一部分3，另一部分为18-3=15，选项D正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-047,P1,pep-primary-p1-upper-number-sense,multiple-choice,3,,3,pass,pass,high,none,pass,false,Stage A: 总数19，一部分16，另一部分为19-16=3，选项C正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-048,P1,pep-primary-p1-upper-number-sense,multiple-choice,3,,3,pass,pass,high,none,pass,false,Stage A: 总数8，一部分5，另一部分为8-5=3，选项B正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-049,P1,pep-primary-p1-upper-number-sense,multiple-choice,5,,5,pass,pass,high,none,pass,false,Stage A: 总数9，一部分4，另一部分为9-4=5，选项A正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-050,P1,pep-primary-p1-upper-number-sense,multiple-choice,3,,3,pass,pass,high,none,pass,false,Stage A: 总数10，一部分7，另一部分为10-7=3，选项D正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-051,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,球,,球,pass,pass,high,none,pass,false,Stage A: 从各个方向都能滚动的立体图形是球，选项C正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-052,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,长方体,,长方体,pass,pass,high,none,pass,false,Stage A: 相对的面是长方形的立体图形是长方体，选项B正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-053,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,正方体,,正方体,pass,pass,high,none,pass,false,Stage A: 每个面都是正方形的立体图形是正方体，选项A正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-054,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,圆柱,,圆柱,pass,pass,high,none,pass,false,Stage A: 有两个圆形的面的立体图形是圆柱，选项D正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-055,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,长方体,,长方体,pass,pass,high,none,pass,false,Stage A: 相对的面形状相同，多数面是长方形，符合长方体特征，选项C正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-056,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,长方体,,长方体,pass,pass,high,none,pass,false,Stage A: 相对的面是长方形的立体图形是长方体，选项B正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-057,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,正方体,,正方体,pass,pass,high,none,pass,false,Stage A: 每个面都是正方形的立体图形是正方体，选项A正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-058,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,圆柱,,圆柱,pass,pass,high,none,pass,false,Stage A: 有两个圆形的面的立体图形是圆柱，选项D正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-059,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,正方体,,正方体,pass,pass,high,none,pass,false,Stage A: 每个面都是正方形的积木是正方体，选项C正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-060,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,长方体,,长方体,pass,pass,high,none,pass,false,Stage A: 相对的面是长方形的立体图形是长方体，选项B正确。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-061,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,正方体,,正方体,pass,pass,high,none,pass,false,Stage A: 每个面都是正方形的立体图形是正方体。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-062,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,圆柱,,圆柱,pass,pass,high,none,pass,false,Stage A: 有两个圆形面的立体图形是圆柱。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-063,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,球,,球,pass,pass,high,none,pass,false,Stage A: 能向各个方向滚动的立体图形是球。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-064,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,长方体,,长方体,pass,pass,high,none,pass,false,Stage A: 相对的面是长方形的立体图形是长方体。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-065,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,正方体,,正方体,pass,pass,high,none,pass,false,Stage A: 每个面都是正方形的立体图形是正方体。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-066,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,圆柱,,圆柱,pass,pass,high,none,pass,false,Stage A: 有两个圆形面的立体图形是圆柱。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-067,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,球,,球,pass,pass,high,none,pass,false,Stage A: 能向各个方向滚动的立体图形是球。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-068,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,长方体,,长方体,pass,pass,high,none,pass,false,Stage A: 相对的面是长方形的立体图形是长方体。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-069,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,正方体,,正方体,pass,pass,high,none,pass,false,Stage A: 每个面都是正方形的立体图形是正方体。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-070,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,圆柱,,圆柱,pass,pass,high,none,pass,false,Stage A: 有两个圆形面的立体图形是圆柱。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-071,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,球,,球,pass,pass,high,none,pass,false,Stage A: 能向各个方向滚动的立体图形是球。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-072,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,长方体,,长方体,pass,pass,high,none,pass,false,Stage A: 相对的面是长方形的立体图形是长方体。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-073,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,正方体,,正方体,pass,pass,high,none,pass,false,Stage A: 每个面都是正方形的立体图形是正方体。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-074,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,圆柱,,圆柱,pass,pass,high,none,pass,false,Stage A: 有两个圆形面的立体图形是圆柱。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-075,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,球,,球,pass,pass,high,none,pass,false,Stage A: 能向各个方向滚动的立体图形是球。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-076,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,长方体,,长方体,pass,pass,high,none,pass,false,Stage A: 相对的面是长方形的立体图形是长方体。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-077,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,正方体,,正方体,pass,pass,high,none,pass,false,Stage A: 每个面都是正方形的立体图形是正方体。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-078,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,圆柱,,圆柱,pass,pass,high,none,pass,false,Stage A: 有两个圆形面的立体图形是圆柱。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-079,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,球,,球,pass,pass,high,none,pass,false,Stage A: 能向各个方向滚动的立体图形是球。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-080,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,长方体,,长方体,pass,pass,high,none,pass,false,Stage A: 相对的面是长方形的立体图形是长方体。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-081,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,正方体,,正方体,pass,pass,high,none,pass,false,Stage A: 每个面都是正方形的立体图形是正方体。 | Stage B: 独立答案与题库答案一致，均为正方体。
pep-primary-p1-u-mc-082,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,圆柱,,圆柱,pass,pass,high,none,pass,false,Stage A: 有两个圆形面的立体图形是圆柱。 | Stage B: 独立答案与题库答案一致，均为圆柱。
pep-primary-p1-u-mc-083,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,球,,球,pass,pass,high,none,pass,false,Stage A: 能向各个方向滚动的立体图形是球。 | Stage B: 独立答案与题库答案一致，均为球。
pep-primary-p1-u-mc-084,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,长方体,,长方体,pass,pass,high,none,pass,false,Stage A: 相对的面是长方形的立体图形是长方体。 | Stage B: 独立答案与题库答案一致，均为长方体。
pep-primary-p1-u-mc-085,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,正方体,,正方体,pass,pass,high,none,pass,false,Stage A: 每个面都是正方形的立体图形是正方体。 | Stage B: 独立答案与题库答案一致，均为正方体。
pep-primary-p1-u-mc-086,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,圆柱,,圆柱,pass,pass,high,none,pass,false,Stage A: 有两个圆形面的立体图形是圆柱。 | Stage B: 独立答案与题库答案一致，均为圆柱。
pep-primary-p1-u-mc-087,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,球,,球,pass,pass,high,none,pass,false,Stage A: 能向各个方向滚动的立体图形是球。 | Stage B: 独立答案与题库答案一致，均为球。
pep-primary-p1-u-mc-088,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,长方体,,长方体,pass,pass,high,none,pass,false,Stage A: 相对的面是长方形的立体图形是长方体。 | Stage B: 独立答案与题库答案一致，均为长方体。
pep-primary-p1-u-mc-089,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,正方体,,正方体,pass,pass,high,none,pass,false,Stage A: 每个面都是正方形的立体图形是正方体。 | Stage B: 独立答案与题库答案一致，均为正方体。
pep-primary-p1-u-mc-090,P1,pep-primary-p1-upper-shapes-position-time,multiple-choice,圆柱,,圆柱,pass,pass,high,none,pass,false,Stage A: 有两个圆形面的立体图形是圆柱。 | Stage B: 独立答案与题库答案一致，均为圆柱。
pep-primary-p1-u-fi-091,P1,pep-primary-p1-upper-shapes-position-time,fill-in,长方体,,长方体,pass,pass,high,none,pass,false,Stage A: 相对的面形状相同且多数面是长方形，符合长方体的特征。 | Stage B: 独立答案与题库答案一致，均为长方体。
pep-primary-p1-u-fi-092,P1,pep-primary-p1-upper-shapes-position-time,fill-in,长方体,,长方体,pass,pass,high,none,pass,false,Stage A: 相对的面是长方形的立体图形是长方体。 | Stage B: 独立答案与题库答案一致，均为长方体。
pep-primary-p1-u-fi-093,P1,pep-primary-p1-upper-shapes-position-time,fill-in,正方体,,正方体,pass,pass,high,none,pass,false,Stage A: 每个面都是正方形的立体图形是正方体。 | Stage B: 独立答案与题库答案一致，均为正方体。
pep-primary-p1-u-fi-094,P1,pep-primary-p1-upper-shapes-position-time,fill-in,圆柱,,圆柱,pass,pass,high,none,pass,false,Stage A: 上下两个面都是圆形的立体图形是圆柱。 | Stage B: 独立答案与题库答案一致，均为圆柱。
pep-primary-p1-u-fi-095,P1,pep-primary-p1-upper-shapes-position-time,fill-in,正方体,,正方体,pass,pass,high,none,pass,false,Stage A: 每个面都是正方形的立体图形是正方体。 | Stage B: 独立答案与题库答案一致，均为正方体。
pep-primary-p1-u-fi-096,P1,pep-primary-p1-upper-shapes-position-time,fill-in,长方体,,长方体,pass,pass,high,none,pass,false,Stage A: 相对的面是长方形的立体图形是长方体。 | Stage B: 独立答案与题库答案一致，均为长方体。
pep-primary-p1-u-fi-097,P1,pep-primary-p1-upper-shapes-position-time,fill-in,正方体,,正方体,pass,pass,high,none,pass,false,Stage A: 每个面都是正方形的立体图形是正方体。 | Stage B: 独立答案与题库答案一致，均为正方体。
pep-primary-p1-u-fi-098,P1,pep-primary-p1-upper-shapes-position-time,fill-in,圆柱,,圆柱,pass,pass,high,none,pass,false,Stage A: 有两个圆形面的立体图形是圆柱。 | Stage B: 独立答案与题库答案一致，均为圆柱。
pep-primary-p1-u-fi-099,P1,pep-primary-p1-upper-shapes-position-time,fill-in,圆柱,,圆柱,pass,pass,high,none,pass,false,Stage A: 上下两个面都是圆形的立体图形是圆柱。 | Stage B: 独立答案与题库答案一致，均为圆柱。
pep-primary-p1-u-fi-100,P1,pep-primary-p1-upper-shapes-position-time,fill-in,长方体,,长方体,pass,pass,high,none,pass,false,Stage A: 相对的面是长方形的立体图形是长方体。 | Stage B: 独立答案与题库答案一致，均为长方体。
pep-primary-p1-l-fi-101,P1,pep-primary-p1-lower-within-100-add-sub,fill-in,56,,56,pass,pass,high,none,pass,false,Stage A: 66-10=56，条件清晰，可直接求解。 | Stage B: 答案一致
pep-primary-p1-l-fi-102,P1,pep-primary-p1-lower-within-100-add-sub,fill-in,57,,57,pass,pass,high,none,pass,false,Stage A: 72-15=57，条件清晰，可直接求解。 | Stage B: 答案一致
pep-primary-p1-l-fi-103,P1,pep-primary-p1-lower-within-100-add-sub,fill-in,58,,58,pass,pass,high,none,pass,false,Stage A: 78-20=58，条件清晰，可直接求解。 | Stage B: 答案一致
pep-primary-p1-l-fi-104,P1,pep-primary-p1-lower-within-100-add-sub,fill-in,51,,51,pass,pass,high,none,pass,false,Stage A: 58-7=51，条件清晰，可直接求解。 | Stage B: 答案一致
pep-primary-p1-l-fi-105,P1,pep-primary-p1-lower-within-100-add-sub,fill-in,52,,52,pass,pass,high,none,pass,false,Stage A: 64-12=52，条件清晰，可直接求解。 | Stage B: 答案一致
pep-primary-p1-l-fi-106,P1,pep-primary-p1-lower-within-100-add-sub,fill-in,53,,53,pass,pass,high,none,pass,false,Stage A: 70-17=53，条件清晰，可直接求解。 | Stage B: 答案一致
pep-primary-p1-l-fi-107,P1,pep-primary-p1-lower-within-100-add-sub,fill-in,71,,71,pass,pass,high,none,pass,false,Stage A: 76-5=71，条件清晰，可直接求解。 | Stage B: 答案一致
pep-primary-p1-l-fi-108,P1,pep-primary-p1-lower-within-100-add-sub,fill-in,24,,24,pass,pass,high,none,pass,false,Stage A: 34-10=24，条件清晰，可直接求解。 | Stage B: 答案一致
pep-primary-p1-l-fi-109,P1,pep-primary-p1-lower-within-100-add-sub,fill-in,25,,25,pass,pass,high,none,pass,false,Stage A: 40-15=25，条件清晰，可直接求解。 | Stage B: 答案一致
pep-primary-p1-l-fi-110,P1,pep-primary-p1-lower-within-100-add-sub,fill-in,36,,36,pass,pass,high,none,pass,false,Stage A: 50-14=36，条件清晰，可直接求解。 | Stage B: 答案一致
pep-primary-p1-l-fi-111,P1,pep-primary-p1-lower-within-100-add-sub,fill-in,76,,76,pass,pass,high,none,pass,false,Stage A: 57+19=76，条件清晰，可直接求解。 | Stage B: 答案一致
pep-primary-p1-l-fi-112,P1,pep-primary-p1-lower-within-100-add-sub,fill-in,58,,58,pass,pass,high,none,pass,false,Stage A: 64-6=58，条件清晰，可直接求解。 | Stage B: 答案一致
pep-primary-p1-l-fi-113,P1,pep-primary-p1-lower-within-100-add-sub,fill-in,82,,82,pass,pass,high,none,pass,false,Stage A: 71+11=82，条件清晰，可直接求解。 | Stage B: 答案一致
pep-primary-p1-l-fi-114,P1,pep-primary-p1-lower-within-100-add-sub,fill-in,62,,62,pass,pass,high,none,pass,false,Stage A: 78-16=62，条件清晰，可直接求解。 | Stage B: 答案一致
pep-primary-p1-l-fi-115,P1,pep-primary-p1-lower-within-100-add-sub,fill-in,56,,56,pass,pass,high,none,pass,false,Stage A: 35+21=56，条件清晰，可直接求解。 | Stage B: 答案一致
pep-primary-p1-l-fi-116,P1,pep-primary-p1-lower-within-100-add-sub,fill-in,34,,34,pass,pass,high,none,pass,false,Stage A: 42-8=34，条件清晰，可直接求解。 | Stage B: 答案一致
pep-primary-p1-l-fi-117,P1,pep-primary-p1-lower-within-100-add-sub,fill-in,62,,62,pass,pass,high,none,pass,false,Stage A: 49+13=62，条件清晰，可直接求解。 | Stage B: 答案一致
pep-primary-p1-l-fi-118,P1,pep-primary-p1-lower-within-100-add-sub,fill-in,38,,38,pass,pass,high,none,pass,false,Stage A: 56-18=38，条件清晰，可直接求解。 | Stage B: 答案一致
pep-primary-p1-l-fi-119,P1,pep-primary-p1-lower-within-100-add-sub,fill-in,68,,68,pass,pass,high,none,pass,false,Stage A: 63+5=68，条件清晰，可直接求解。 | Stage B: 答案一致
pep-primary-p1-l-fi-120,P1,pep-primary-p1-lower-within-100-add-sub,fill-in,60,,60,pass,pass,high,none,pass,false,Stage A: 70-10=60，条件清晰，可直接求解。 | Stage B: 答案一致
pep-primary-p1-l-fi-121,P1,pep-primary-p1-lower-within-100-add-sub,fill-in,92,,92,pass,pass,high,none,pass,false,Stage A: 77+15=92，计算正确。 | Stage B: 独立答案与题库答案一致
