questionId,grade,batch,type,topic,topicId,storedAnswer,acceptedAnswers,independentAnswer,solvableStatus,answerMatchStatus,qaStatus,severity,sourceStatus,notes,recommendedAction
pep-primary-p1-u-mc-021,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,1,1,1,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-022,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,2,2,2,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-023,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,3,3,3,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-024,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,5,5,5,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-025,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,5,5,5,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-026,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,3,3,3,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-027,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,9,9,9,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-028,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,4,4,4,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-029,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,9,9,9,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-030,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,1,1,1,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-031,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,5,5,5,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-032,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,9,9,9,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-033,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,13,13,13,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-034,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,17,17,17,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-035,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,3,3,3,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-036,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,4,4,4,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-037,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,1,1,1,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-038,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,3,3,3,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-039,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,3,3,3,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-040,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,1,1,1,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-041,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,9,9,9,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-042,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,4,4,4,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-043,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,11,11,11,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-044,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,3,3,3,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-045,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,9,9,9,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-046,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,15,15,15,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-047,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,3,3,3,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-048,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,3,3,3,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-049,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,5,5,5,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-050,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,3,3,3,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-051,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,sphere,sphere; 球,sphere,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-052,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cuboid,cuboid; 长方体,cuboid,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-053,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cube,cube; 正方体,cube,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-054,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cylinder,cylinder; 圆柱,cylinder,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-055,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cuboid,cuboid; 长方体,cuboid,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-056,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cuboid,cuboid; 长方体,cuboid,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-057,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cube,cube; 正方体,cube,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-058,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cylinder,cylinder; 圆柱,cylinder,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-059,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cube,cube; 正方体,cube,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-060,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cuboid,cuboid; 长方体,cuboid,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-061,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cube,cube; 正方体,cube,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-062,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cylinder,cylinder; 圆柱,cylinder,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-063,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,sphere,sphere; 球,sphere,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-064,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cuboid,cuboid; 长方体,cuboid,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-065,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cube,cube; 正方体,cube,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-066,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cylinder,cylinder; 圆柱,cylinder,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-067,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,sphere,sphere; 球,sphere,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-068,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cuboid,cuboid; 长方体,cuboid,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-069,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cube,cube; 正方体,cube,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-070,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cylinder,cylinder; 圆柱,cylinder,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-071,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,sphere,sphere; 球,sphere,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-072,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cuboid,cuboid; 长方体,cuboid,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-073,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cube,cube; 正方体,cube,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-074,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cylinder,cylinder; 圆柱,cylinder,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-075,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,sphere,sphere; 球,sphere,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-076,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cuboid,cuboid; 长方体,cuboid,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-077,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cube,cube; 正方体,cube,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-078,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cylinder,cylinder; 圆柱,cylinder,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-079,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,sphere,sphere; 球,sphere,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-080,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cuboid,cuboid; 长方体,cuboid,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-081,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cube,cube; 正方体,cube,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-082,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cylinder,cylinder; 圆柱,cylinder,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-083,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,sphere,sphere; 球,sphere,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-084,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cuboid,cuboid; 长方体,cuboid,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-085,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cube,cube; 正方体,cube,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-086,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cylinder,cylinder; 圆柱,cylinder,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-087,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,sphere,sphere; 球,sphere,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-088,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cuboid,cuboid; 长方体,cuboid,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-089,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cube,cube; 正方体,cube,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-090,P1,primary-rag-v1,multiple-choice,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cylinder,cylinder; 圆柱,cylinder,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-fi-091,P1,primary-rag-v1,fill-in,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cuboid,cuboid; 长方体,cuboid,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-fi-092,P1,primary-rag-v1,fill-in,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cuboid,cuboid; 长方体,cuboid,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-fi-093,P1,primary-rag-v1,fill-in,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cube,cube; 正方体,cube,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-fi-094,P1,primary-rag-v1,fill-in,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cylinder,cylinder; 圆柱,cylinder,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-fi-095,P1,primary-rag-v1,fill-in,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cube,cube; 正方体,cube,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-fi-096,P1,primary-rag-v1,fill-in,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cuboid,cuboid; 长方体,cuboid,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-fi-097,P1,primary-rag-v1,fill-in,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cube,cube; 正方体,cube,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-fi-098,P1,primary-rag-v1,fill-in,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cylinder,cylinder; 圆柱,cylinder,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-fi-099,P1,primary-rag-v1,fill-in,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cylinder,cylinder; 圆柱,cylinder,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-fi-100,P1,primary-rag-v1,fill-in,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,cuboid,cuboid; 长方体,cuboid,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-l-fi-101,P1,primary-rag-v1,fill-in,100以内数与加减法,pep-primary-p1-lower-within-100-add-sub,60,60; 60本; 60本书; 60 books,60,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-l-fi-102,P1,primary-rag-v1,fill-in,100以内数与加减法,pep-primary-p1-lower-within-100-add-sub,57,57; 57个; 57个小圆片; 57 counters,57,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-l-fi-103,P1,primary-rag-v1,fill-in,100以内数与加减法,pep-primary-p1-lower-within-100-add-sub,75,75; 75张; 75张卡片; 75 cards,75,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-l-fi-104,P1,primary-rag-v1,fill-in,100以内数与加减法,pep-primary-p1-lower-within-100-add-sub,51,51; 51个; 51个气球; 51 balloons,51,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-l-fi-105,P1,primary-rag-v1,fill-in,100以内数与加减法,pep-primary-p1-lower-within-100-add-sub,76,76; 76本; 76本书; 76 books,76,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-l-fi-106,P1,primary-rag-v1,fill-in,100以内数与加减法,pep-primary-p1-lower-within-100-add-sub,53,53,53,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-l-fi-107,P1,primary-rag-v1,fill-in,100以内数与加减法,pep-primary-p1-lower-within-100-add-sub,71,71,71,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-l-fi-108,P1,primary-rag-v1,fill-in,100以内数与加减法,pep-primary-p1-lower-within-100-add-sub,24,24,24,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-l-fi-109,P1,primary-rag-v1,fill-in,100以内数与加减法,pep-primary-p1-lower-within-100-add-sub,25,25,25,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-l-fi-110,P1,primary-rag-v1,fill-in,100以内数与加减法,pep-primary-p1-lower-within-100-add-sub,36,36,36,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-l-fi-111,P1,primary-rag-v1,fill-in,100以内数与加减法,pep-primary-p1-lower-within-100-add-sub,76,76,76,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-l-fi-112,P1,primary-rag-v1,fill-in,100以内数与加减法,pep-primary-p1-lower-within-100-add-sub,58,58,58,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-l-fi-113,P1,primary-rag-v1,fill-in,100以内数与加减法,pep-primary-p1-lower-within-100-add-sub,82,82,82,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-l-fi-114,P1,primary-rag-v1,fill-in,100以内数与加减法,pep-primary-p1-lower-within-100-add-sub,62,62,62,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-l-fi-115,P1,primary-rag-v1,fill-in,100以内数与加减法,pep-primary-p1-lower-within-100-add-sub,56,56,56,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-l-fi-116,P1,primary-rag-v1,fill-in,100以内数与加减法,pep-primary-p1-lower-within-100-add-sub,34,34,34,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
