questionId,batch,grade,topicId,type,difficulty,autoRecommendation,autoRiskFlags,reviewer,reviewDate,decision,severity,issueCategory,independentAnswer,storedAnswer,mathVerdict,answerKeyVerdict,explanationVerdict,curriculumFit,sourceDistance,bilingualFit,templateVariety,studentReadiness,notes,requiredFix,rerunRequired
pep-high-s4-rag4-fi-028,rag-v4,S4,pep-high-s4-quadratic-inequalities,fill-in,Exam,pass,,S18,2026-05-23,approve-row,none,,2,2,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-029,rag-v4,S4,pep-high-s4-quadratic-inequalities,fill-in,Exam,pass,,S18,2026-05-23,approve-row,none,,-1,-1,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-030,rag-v4,S4,pep-high-s4-quadratic-inequalities,fill-in,Exam,pass,,S18,2026-05-23,approve-row,none,,-2,-2,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-031,rag-v4,S4,pep-high-s4-quadratic-inequalities,fill-in,Exam,pass,,S18,2026-05-23,approve-row,none,,11,11,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-041,rag-v4,S4,pep-high-s4-function-properties,fill-in,Core,pass,,S18,2026-05-23,approve-row,none,,-8,-8,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-051,rag-v4,S4,pep-high-s4-function-properties,fill-in,Core,pass,,S18,2026-05-23,approve-row,none,,-8,-8,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-061,rag-v4,S4,pep-high-s4-exp-log,fill-in,Exam,pass,,S18,2026-05-23,approve-row,none,,5,5,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-069,rag-v4,S4,pep-high-s4-trigonometry,fill-in,Exam,pass,,S18,2026-05-23,approve-row,none,,1,1,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-071,rag-v4,S4,pep-high-s4-trigonometry,fill-in,Exam,pass,,S18,2026-05-23,approve-row,none,,1,1,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-081,rag-v4,S4,pep-high-s4-trigonometry,fill-in,Exam,pass,,S18,2026-05-23,approve-row,none,,1,1,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-091,rag-v4,S4,pep-high-s4-plane-vectors,fill-in,Core,pass,,S18,2026-05-23,approve-row,none,,15,15,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-101,rag-v4,S4,pep-high-s4-plane-vectors,fill-in,Core,pass,,S18,2026-05-23,approve-row,none,,15,15,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-111,rag-v4,S4,pep-high-s4-complex-numbers,fill-in,Core,pass,,S18,2026-05-23,approve-row,none,,1,1,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-121,rag-v4,S4,pep-high-s4-solid-geometry-intro,fill-in,Exam,pass,,S18,2026-05-23,approve-row,none,,96,96,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-131,rag-v4,S4,pep-high-s4-solid-geometry-intro,fill-in,Exam,pass,,S18,2026-05-23,approve-row,none,,96,96,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-141,rag-v4,S4,pep-high-s4-statistics,fill-in,Core,pass,,S18,2026-05-23,approve-row,none,,4,4,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-151,rag-v4,S4,pep-high-s4-probability,fill-in,Exam,pass,,S18,2026-05-23,approve-row,none,,1/2,1/2,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-161,rag-v4,S4,pep-high-s4-probability,fill-in,Exam,pass,,S18,2026-05-23,approve-row,none,,1/2,1/2,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-001,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,pass,,S18,2026-05-23,approve-row,none,,4,4,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-002,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,pass,,S18,2026-05-23,approve-row,none,,3,3,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-003,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,pass,,S18,2026-05-23,approve-row,none,,5,5,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-004,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,pass,,S18,2026-05-23,approve-row,none,,3,3,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-005,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,pass,,S18,2026-05-23,approve-row,none,,5,5,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-006,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,pass,,S18,2026-05-23,approve-row,none,,3,3,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-007,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,pass,,S18,2026-05-23,approve-row,none,,4,4,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-008,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,pass,,S18,2026-05-23,approve-row,none,,3,3,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-009,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,pass,,S18,2026-05-23,approve-row,none,,5,5,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-010,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,pass,,S18,2026-05-23,approve-row,none,,3,3,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-011,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,pass,,S18,2026-05-23,approve-row,none,,4,4,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-012,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,pass,,S18,2026-05-23,approve-row,none,,3,3,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-013,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,pass,,S18,2026-05-23,approve-row,none,,5,5,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-014,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,pass,,S18,2026-05-23,approve-row,none,,3,3,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-015,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,pass,,S18,2026-05-23,approve-row,none,,5,5,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-016,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,pass,,S18,2026-05-23,approve-row,none,,3,3,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-017,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,pass,,S18,2026-05-23,approve-row,none,,4,4,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-018,rag-v4,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,pass,,S18,2026-05-23,approve-row,none,,2,2,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-019,rag-v4,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,pass,,S18,2026-05-23,approve-row,none,,2,2,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-020,rag-v4,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,pass,,S18,2026-05-23,approve-row,none,,2,2,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-021,rag-v4,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,pass,,S18,2026-05-23,approve-row,none,,2,2,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-022,rag-v4,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,pass,,S18,2026-05-23,approve-row,none,,2,2,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-023,rag-v4,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,pass,,S18,2026-05-23,approve-row,none,,2,2,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-024,rag-v4,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,pass,,S18,2026-05-23,approve-row,none,,2,2,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-025,rag-v4,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,pass,,S18,2026-05-23,approve-row,none,,2,2,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-026,rag-v4,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,pass,,S18,2026-05-23,approve-row,none,,2,2,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-027,rag-v4,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,pass,,S18,2026-05-23,approve-row,none,,2,2,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-028,rag-v4,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,pass,,S18,2026-05-23,approve-row,none,,2,2,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-029,rag-v4,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,pass,,S18,2026-05-23,approve-row,none,,2,2,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-030,rag-v4,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,pass,,S18,2026-05-23,approve-row,none,,2,2,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-031,rag-v4,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,pass,,S18,2026-05-23,approve-row,none,,2,2,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-032,rag-v4,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,pass,,S18,2026-05-23,approve-row,none,,2,2,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-033,rag-v4,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,pass,,S18,2026-05-23,approve-row,none,,2,2,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-034,rag-v4,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,pass,,S18,2026-05-23,approve-row,none,,2,2,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-035,rag-v4,S4,pep-high-s4-function-properties,multiple-choice,Core,pass,,S18,2026-05-23,approve-row,none,,-10,-10,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-036,rag-v4,S4,pep-high-s4-function-properties,multiple-choice,Core,pass,,S18,2026-05-23,approve-row,none,,-8,-8,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-037,rag-v4,S4,pep-high-s4-function-properties,multiple-choice,Core,pass,,S18,2026-05-23,approve-row,none,,-6,-6,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-038,rag-v4,S4,pep-high-s4-function-properties,multiple-choice,Core,pass,,S18,2026-05-23,approve-row,none,,-4,-4,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-039,rag-v4,S4,pep-high-s4-function-properties,multiple-choice,Core,pass,,S18,2026-05-23,approve-row,none,,-2,-2,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-040,rag-v4,S4,pep-high-s4-function-properties,multiple-choice,Core,pass,,S18,2026-05-23,approve-row,none,,-10,-10,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-041,rag-v4,S4,pep-high-s4-function-properties,multiple-choice,Core,pass,,S18,2026-05-23,approve-row,none,,-8,-8,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-042,rag-v4,S4,pep-high-s4-function-properties,multiple-choice,Core,pass,,S18,2026-05-23,approve-row,none,,-6,-6,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-mc-046,rag-v4,S4,pep-high-s4-function-properties,multiple-choice,Core,pass,,S18,2026-05-23,approve-row,none,,-8,-8,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-001,rag-v4,S4,pep-high-s4-sets-logic,short-answer,Foundation,pass,,S18,2026-05-23,approve-row,none,,10,10,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-002,rag-v4,S4,pep-high-s4-sets-logic,short-answer,Foundation,pass,,S18,2026-05-23,approve-row,none,,9,9,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-003,rag-v4,S4,pep-high-s4-sets-logic,short-answer,Foundation,pass,,S18,2026-05-23,approve-row,none,,11,11,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-004,rag-v4,S4,pep-high-s4-sets-logic,short-answer,Foundation,pass,,S18,2026-05-23,approve-row,none,,11,11,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-005,rag-v4,S4,pep-high-s4-sets-logic,short-answer,Foundation,pass,,S18,2026-05-23,approve-row,none,,10,10,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-006,rag-v4,S4,pep-high-s4-sets-logic,short-answer,Foundation,pass,,S18,2026-05-23,approve-row,none,,10,10,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-007,rag-v4,S4,pep-high-s4-sets-logic,short-answer,Foundation,pass,,S18,2026-05-23,approve-row,none,,9,9,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-008,rag-v4,S4,pep-high-s4-sets-logic,short-answer,Foundation,pass,,S18,2026-05-23,approve-row,none,,11,11,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-009,rag-v4,S4,pep-high-s4-sets-logic,short-answer,Foundation,pass,,S18,2026-05-23,approve-row,none,,11,11,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-010,rag-v4,S4,pep-high-s4-sets-logic,short-answer,Foundation,pass,,S18,2026-05-23,approve-row,none,,10,10,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-011,rag-v4,S4,pep-high-s4-sets-logic,short-answer,Foundation,pass,,S18,2026-05-23,approve-row,none,,10,10,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-049,rag-v4,S4,pep-high-s4-exp-log,short-answer,Exam,pass,,S18,2026-05-23,approve-row,none,,12,12,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-050,rag-v4,S4,pep-high-s4-exp-log,short-answer,Exam,pass,,S18,2026-05-23,approve-row,none,,20,20,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-051,rag-v4,S4,pep-high-s4-exp-log,short-answer,Exam,pass,,S18,2026-05-23,approve-row,none,,8,8,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-052,rag-v4,S4,pep-high-s4-exp-log,short-answer,Exam,pass,,S18,2026-05-23,approve-row,none,,12,12,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-053,rag-v4,S4,pep-high-s4-exp-log,short-answer,Exam,pass,,S18,2026-05-23,approve-row,none,,4,4,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-065,rag-v4,S4,pep-high-s4-trigonometry,short-answer,Exam,pass,,S18,2026-05-23,approve-row,none,,1,1,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-066,rag-v4,S4,pep-high-s4-trigonometry,short-answer,Exam,pass,,S18,2026-05-23,approve-row,none,,5,5,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-067,rag-v4,S4,pep-high-s4-trigonometry,short-answer,Exam,pass,,S18,2026-05-23,approve-row,none,,4,4,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-081,rag-v4,S4,pep-high-s4-plane-vectors,short-answer,Core,pass,,S18,2026-05-23,approve-row,none,,5,5,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-082,rag-v4,S4,pep-high-s4-plane-vectors,short-answer,Core,pass,,S18,2026-05-23,approve-row,none,,41,41,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-083,rag-v4,S4,pep-high-s4-plane-vectors,short-answer,Core,pass,,S18,2026-05-23,approve-row,none,,20,20,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-084,rag-v4,S4,pep-high-s4-plane-vectors,short-answer,Core,pass,,S18,2026-05-23,approve-row,none,,25,25,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-098,rag-v4,S4,pep-high-s4-complex-numbers,short-answer,Core,pass,,S18,2026-05-23,approve-row,none,,10,10,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-099,rag-v4,S4,pep-high-s4-complex-numbers,short-answer,Core,pass,,S18,2026-05-23,approve-row,none,,68,68,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-100,rag-v4,S4,pep-high-s4-complex-numbers,short-answer,Core,pass,,S18,2026-05-23,approve-row,none,,52,52,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-101,rag-v4,S4,pep-high-s4-complex-numbers,short-answer,Core,pass,,S18,2026-05-23,approve-row,none,,41,41,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-102,rag-v4,S4,pep-high-s4-complex-numbers,short-answer,Core,pass,,S18,2026-05-23,approve-row,none,,16,16,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-115,rag-v4,S4,pep-high-s4-solid-geometry-intro,short-answer,Exam,pass,,S18,2026-05-23,approve-row,none,,41,41,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-sa-116,rag-v4,S4,pep-high-s4-solid-geometry-intro,short-answer,Exam,pass,,S18,2026-05-23,approve-row,none,,50,50,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
