questionId,grade,family,needLevel,illustrationKind,priority,promptZhHans,imageBriefZhHans
pep-primary-p1-u-mc-018,P1,number-sense,core,ten-frame,P1,第18小组：一个数的组成中，总数是14，其中一部分是3，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第18小组：一个数的组成中，总数是14，其中一部分是3，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-019,P1,number-sense,core,ten-frame,P1,第19小组：一个数的组成中，总数是15，其中一部分是2，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第19小组：一个数的组成中，总数是15，其中一部分是2，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-020,P1,number-sense,core,ten-frame,P1,第20小组：一个数的组成中，总数是16，其中一部分是1，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第20小组：一个数的组成中，总数是16，其中一部分是1，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-021,P1,number-sense,core,ten-frame,P1,第21小组：一个数的组成中，总数是17，其中一部分是16，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第21小组：一个数的组成中，总数是17，其中一部分是16，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-022,P1,number-sense,core,ten-frame,P1,第22小组：一个数的组成中，总数是18，其中一部分是16，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第22小组：一个数的组成中，总数是18，其中一部分是16，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-023,P1,number-sense,core,ten-frame,P1,第23小组：一个数的组成中，总数是19，其中一部分是16，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第23小组：一个数的组成中，总数是19，其中一部分是16，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-024,P1,number-sense,core,ten-frame,P1,第24小组：一个数的组成中，总数是8，其中一部分是3，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第24小组：一个数的组成中，总数是8，其中一部分是3，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-025,P1,number-sense,core,ten-frame,P1,第25小组：一个数的组成中，总数是9，其中一部分是4，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第25小组：一个数的组成中，总数是9，其中一部分是4，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-026,P1,number-sense,core,ten-frame,P1,第26小组：一个数的组成中，总数是10，其中一部分是7，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第26小组：一个数的组成中，总数是10，其中一部分是7，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-027,P1,number-sense,core,ten-frame,P1,第27小组：一个数的组成中，总数是11，其中一部分是2，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第27小组：一个数的组成中，总数是11，其中一部分是2，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-028,P1,number-sense,core,ten-frame,P1,第28小组：一个数的组成中，总数是12，其中一部分是8，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第28小组：一个数的组成中，总数是12，其中一部分是8，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-029,P1,number-sense,core,ten-frame,P1,第29小组：一个数的组成中，总数是13，其中一部分是4，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第29小组：一个数的组成中，总数是13，其中一部分是4，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-030,P1,number-sense,core,ten-frame,P1,第30小组：一个数的组成中，总数是14，其中一部分是13，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第30小组：一个数的组成中，总数是14，其中一部分是13，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-031,P1,number-sense,core,ten-frame,P1,运动场准备了9张数卡，先发给同学4张，还剩几张？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：运动场准备了9张数卡，先发给同学4张，还剩几张？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-032,P1,number-sense,core,ten-frame,P1,第32小组：一个数的组成中，总数是16，其中一部分是7，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第32小组：一个数的组成中，总数是16，其中一部分是7，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-033,P1,number-sense,core,ten-frame,P1,第33小组：一个数的组成中，总数是17，其中一部分是4，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第33小组：一个数的组成中，总数是17，其中一部分是4，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-034,P1,number-sense,core,ten-frame,P1,第34小组：一个数的组成中，总数是18，其中一部分是1，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第34小组：一个数的组成中，总数是18，其中一部分是1，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-035,P1,number-sense,core,ten-frame,P1,第35小组：一个数的组成中，总数是19，其中一部分是16，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第35小组：一个数的组成中，总数是19，其中一部分是16，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-036,P1,number-sense,core,ten-frame,P1,第36小组：一个数的组成中，总数是8，其中一部分是4，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第36小组：一个数的组成中，总数是8，其中一部分是4，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-037,P1,number-sense,core,ten-frame,P1,第37小组：一个数的组成中，总数是9，其中一部分是8，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第37小组：一个数的组成中，总数是9，其中一部分是8，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-038,P1,number-sense,core,ten-frame,P1,第38小组：一个数的组成中，总数是10，其中一部分是7，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第38小组：一个数的组成中，总数是10，其中一部分是7，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-039,P1,number-sense,core,ten-frame,P1,第39小组：一个数的组成中，总数是11，其中一部分是8，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第39小组：一个数的组成中，总数是11，其中一部分是8，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-040,P1,number-sense,core,ten-frame,P1,第40小组：一个数的组成中，总数是12，其中一部分是11，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第40小组：一个数的组成中，总数是12，其中一部分是11，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-041,P1,number-sense,core,ten-frame,P1,第41小组：一个数的组成中，总数是13，其中一部分是4，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第41小组：一个数的组成中，总数是13，其中一部分是4，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-042,P1,number-sense,core,ten-frame,P1,第42小组：一个数的组成中，总数是14，其中一部分是10，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第42小组：一个数的组成中，总数是14，其中一部分是10，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-043,P1,number-sense,core,ten-frame,P1,第43小组：一个数的组成中，总数是15，其中一部分是4，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第43小组：一个数的组成中，总数是15，其中一部分是4，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-044,P1,number-sense,core,ten-frame,P1,第44小组：一个数的组成中，总数是16，其中一部分是13，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第44小组：一个数的组成中，总数是16，其中一部分是13，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-045,P1,number-sense,core,ten-frame,P1,第45小组：一个数的组成中，总数是17，其中一部分是8，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第45小组：一个数的组成中，总数是17，其中一部分是8，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-046,P1,number-sense,core,ten-frame,P1,第46小组：一个数的组成中，总数是18，其中一部分是3，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第46小组：一个数的组成中，总数是18，其中一部分是3，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-047,P1,number-sense,core,ten-frame,P1,第47小组：一个数的组成中，总数是19，其中一部分是16，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第47小组：一个数的组成中，总数是19，其中一部分是16，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-048,P1,number-sense,core,ten-frame,P1,第48小组：一个数的组成中，总数是8，其中一部分是5，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第48小组：一个数的组成中，总数是8，其中一部分是5，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-049,P1,number-sense,core,ten-frame,P1,第49小组：一个数的组成中，总数是9，其中一部分是4，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第49小组：一个数的组成中，总数是9，其中一部分是4，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-050,P1,number-sense,core,ten-frame,P1,第50小组：一个数的组成中，总数是10，其中一部分是7，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第50小组：一个数的组成中，总数是10，其中一部分是7，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-fi-091,P1,geometry-position,core,solid,P1,观察一个积木：相对的面形状相同，多数面是长方形。这个积木属于哪种立体图形？,为人教版小学数学“图形、位置与整时”题目生成一张积木/立体图形/位置观察题目插图。题干：观察一个积木：相对的面形状相同，多数面是长方形。这个积木属于哪种立体图形？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-fi-092,P1,geometry-position,core,solid,P1,第92小组：下面描述的是哪种立体图形：相对的面是长方形？,为人教版小学数学“图形、位置与整时”题目生成一张积木/立体图形/位置观察题目插图。题干：第92小组：下面描述的是哪种立体图形：相对的面是长方形？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-fi-093,P1,geometry-position,core,solid,P1,第93小组：下面描述的是哪种立体图形：每个面都是正方形？,为人教版小学数学“图形、位置与整时”题目生成一张积木/立体图形/位置观察题目插图。题干：第93小组：下面描述的是哪种立体图形：每个面都是正方形？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-fi-094,P1,geometry-position,core,solid,P1,观察一个积木：上下两个面都是圆形。这个积木属于哪种立体图形？,为人教版小学数学“图形、位置与整时”题目生成一张积木/立体图形/位置观察题目插图。题干：观察一个积木：上下两个面都是圆形。这个积木属于哪种立体图形？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-fi-095,P1,geometry-position,core,solid,P1,浩浩摸到一个立体图形，它每个面都是正方形。这个图形最可能是什么？,为人教版小学数学“图形、位置与整时”题目生成一张积木/立体图形/位置观察题目插图。题干：浩浩摸到一个立体图形，它每个面都是正方形。这个图形最可能是什么？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-fi-096,P1,geometry-position,core,solid,P1,第96小组：下面描述的是哪种立体图形：相对的面是长方形？,为人教版小学数学“图形、位置与整时”题目生成一张积木/立体图形/位置观察题目插图。题干：第96小组：下面描述的是哪种立体图形：相对的面是长方形？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-fi-097,P1,geometry-position,core,solid,P1,第97小组：下面描述的是哪种立体图形：每个面都是正方形？,为人教版小学数学“图形、位置与整时”题目生成一张积木/立体图形/位置观察题目插图。题干：第97小组：下面描述的是哪种立体图形：每个面都是正方形？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-fi-098,P1,geometry-position,core,solid,P1,第98小组：下面描述的是哪种立体图形：有两个圆形的面？,为人教版小学数学“图形、位置与整时”题目生成一张积木/立体图形/位置观察题目插图。题干：第98小组：下面描述的是哪种立体图形：有两个圆形的面？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-fi-099,P1,geometry-position,core,solid,P1,图书角摆着一个模型，特点是：上下两个面都是圆形。请选择它的名称。,为人教版小学数学“图形、位置与整时”题目生成一张积木/立体图形/位置观察题目插图。题干：图书角摆着一个模型，特点是：上下两个面都是圆形。请选择它的名称。画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-fi-100,P1,geometry-position,core,solid,P1,第100小组：下面描述的是哪种立体图形：相对的面是长方形？,为人教版小学数学“图形、位置与整时”题目生成一张积木/立体图形/位置观察题目插图。题干：第100小组：下面描述的是哪种立体图形：相对的面是长方形？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-051,P1,geometry-position,core,solid,P1,小林摸到一个立体图形，它从各个方向都能滚动。这个图形最可能是什么？,为人教版小学数学“图形、位置与整时”题目生成一张积木/立体图形/位置观察题目插图。题干：小林摸到一个立体图形，它从各个方向都能滚动。这个图形最可能是什么？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-052,P1,geometry-position,core,solid,P1,第52小组：下面描述的是哪种立体图形：相对的面是长方形？,为人教版小学数学“图形、位置与整时”题目生成一张积木/立体图形/位置观察题目插图。题干：第52小组：下面描述的是哪种立体图形：相对的面是长方形？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-053,P1,geometry-position,core,solid,P1,第53小组：下面描述的是哪种立体图形：每个面都是正方形？,为人教版小学数学“图形、位置与整时”题目生成一张积木/立体图形/位置观察题目插图。题干：第53小组：下面描述的是哪种立体图形：每个面都是正方形？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-054,P1,geometry-position,core,solid,P1,第54小组：下面描述的是哪种立体图形：有两个圆形的面？,为人教版小学数学“图形、位置与整时”题目生成一张积木/立体图形/位置观察题目插图。题干：第54小组：下面描述的是哪种立体图形：有两个圆形的面？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-055,P1,geometry-position,core,solid,P1,美术柜摆着一个模型，特点是：相对的面形状相同，多数面是长方形。请选择它的名称。,为人教版小学数学“图形、位置与整时”题目生成一张积木/立体图形/位置观察题目插图。题干：美术柜摆着一个模型，特点是：相对的面形状相同，多数面是长方形。请选择它的名称。画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-056,P1,geometry-position,core,solid,P1,第56小组：下面描述的是哪种立体图形：相对的面是长方形？,为人教版小学数学“图形、位置与整时”题目生成一张积木/立体图形/位置观察题目插图。题干：第56小组：下面描述的是哪种立体图形：相对的面是长方形？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-057,P1,geometry-position,core,solid,P1,第57小组：下面描述的是哪种立体图形：每个面都是正方形？,为人教版小学数学“图形、位置与整时”题目生成一张积木/立体图形/位置观察题目插图。题干：第57小组：下面描述的是哪种立体图形：每个面都是正方形？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-058,P1,geometry-position,core,solid,P1,第58小组：下面描述的是哪种立体图形：有两个圆形的面？,为人教版小学数学“图形、位置与整时”题目生成一张积木/立体图形/位置观察题目插图。题干：第58小组：下面描述的是哪种立体图形：有两个圆形的面？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
