blindId,grade,semester,type,difficulty,promptZhHans,optionsZhHans,answer,acceptedAnswers,explanationZhHans,reviewerMathCorrectness,reviewerGradeFit,reviewerLanguageQuality,reviewerExplanationQuality,reviewerClassroomUsability,reviewerTemplateFeel,reviewerNotes
MPPQ-041,P1,lower,multiple-choice,Challenge,公交车上原来有34人，到站后下去15人，又上来12人。现在车上有多少人？,31人 | 37人 | 27人 | 41人,31人,31人,原来34人，下去15人，剩下34-15=19人；又上来12人，现在19+12=31人。,,,,,,,
MPPQ-042,P1,lower,short-answer,Challenge,第195小组：班级统计红卡3张、蓝卡5张、绿卡4张，数量最多的是几张？,,5,5,比较三个数量，最大的是5张。,,,,,,,
MPPQ-043,P1,lower,multiple-choice,Core,小明有2张5元纸币和3张1元纸币，他想买一本8元的笔记本，付钱后还剩多少钱？,3元 | 4元 | 5元 | 6元,5元,5元,小明共有5+5+1+1+1=13元，13-8=5元，所以还剩5元。,,,,,,,
MPPQ-044,P1,lower,short-answer,Core,第177小组：班级统计红卡5张、蓝卡5张、绿卡5张，数量最多的是几张？,,5,5,比较三个数量，最大的是5张。,,,,,,,
MPPQ-045,P1,lower,multiple-choice,Foundation,"找规律填数：2, 5, 8, 11, □, □。后面两个数依次是什么？","14, 17 | 13, 15 | 12, 14 | 15, 18","14, 17","14, 17",规律是每次加3：2+3=5，5+3=8，8+3=11，11+3=14，14+3=17。,,,,,,,
MPPQ-046,P1,upper,fill-in,Foundation,观察一个积木：上下两个面都是圆形。这个积木属于哪种立体图形？,,圆柱,圆柱,这个特征对应圆柱。,,,,,,,
MPPQ-047,P1,lower,short-answer,Core,桌面上有下面这些图形：一个红色正方形，一个蓝色正方形，一个红色三角形，一个蓝色三角形，一个红色圆形。想一想，按颜色分类，红色图形有几个？按形状分类，正方形有几个？,,按颜色分：3个；按形状分：2个,按颜色分：3个；按形状分：2个 | 红色：3，正方形：2 | 3；2,红色图形有红色正方形、红色三角形、红色圆形，共3个。正方形有红色正方形和蓝色正方形，共2个。,,,,,,,
MPPQ-048,P1,upper,multiple-choice,Foundation,第7小组：一个数的组成中，总数是15，其中一部分是8，另一部分是多少？,6 | 9 | 7 | 8,7,7,用总数减去已知部分：15-8=7。,,,,,,,
MPPQ-049,P1,lower,short-answer,Foundation,一个数，个位上是最大的一位数，十位上的数比个位上的数小4。这个数是多少？,,59,59 | 五十九,最大的一位数是9，所以个位是9。十位比个位小4，十位是9-4=5，所以这个数是59。,,,,,,,
MPPQ-050,P1,lower,fill-in,Core,第126小组：计算：62-4=？,,58,58,按位计算可得：62-4=58。,,,,,,,
MPPQ-051,P1,upper,fill-in,Core,10可以分成3和____。,,7,7,因为3+7=10，所以10可以分成3和7。,,,,,,,
MPPQ-052,P1,lower,fill-in,Foundation,第114小组：计算：78-16=？,,62,62,按位计算可得：78-16=62。,,,,,,,
MPPQ-053,P1,upper,fill-in,Foundation,10可以分成3和几？请填数字。,,7,7,因为3加7等于10，所以10可以分成3和7。,,,,,,,
MPPQ-054,P1,lower,short-answer,Challenge,第196小组：班级统计红卡4张、蓝卡7张、绿卡7张，数量最多的是几张？,,7,7,比较三个数量，最大的是7张。,,,,,,,
MPPQ-055,P1,upper,multiple-choice,Challenge,小红左边有3人，右边有4人，这一排一共有几人？,6人 | 7人 | 8人 | 9人,8人,8人,小红左边3人，右边4人，再加上小红自己，3+4+1=8人。,,,,,,,
MPPQ-056,P1,lower,short-answer,Core,第178小组：班级统计红卡6张、蓝卡7张、绿卡8张，数量最多的是几张？,,8,8,比较三个数量，最大的是8张。,,,,,,,
MPPQ-057,P1,upper,multiple-choice,Core,钟面上，分针指向12，时针指向9，这时是几时？,12时 | 9时 | 3时 | 6时,9时,9时,分针指向12，时针指向几就是几时。时针指向9，所以是9时。,,,,,,,
MPPQ-058,P1,upper,fill-in,Foundation,第98小组：下面描述的是哪种立体图形：有两个圆形的面？,,圆柱,圆柱,这个特征对应圆柱。,,,,,,,
MPPQ-059,P1,upper,multiple-choice,Foundation,树上有3只小鸟，又飞来了2只。现在树上一共有几只小鸟？,1只 | 4只 | 5只 | 6只,5只,5只,原来有3只，加上飞来的2只，3+2=5，所以一共是5只。,,,,,,,
MPPQ-060,P1,upper,multiple-choice,Foundation,第12小组：一个数的组成中，总数是8，其中一部分是2，另一部分是多少？,2 | 6 | 7 | 5,6,6,用总数减去已知部分：8-2=6。,,,,,,,
MPPQ-061,P1,upper,short-answer,Core,计算8+5。请用凑十法写出计算过程，并给出得数。,,13,13,把5分成2和3，8+2=10，10+3=13，所以8+5=13。,,,,,,,
MPPQ-062,P1,lower,fill-in,Core,第127小组：计算：69+9=？,,78,78,按位计算可得：69+9=78。,,,,,,,
MPPQ-063,P1,upper,short-answer,Foundation,钟面上，时针指向9，分针指向12，这是几时？,,9时,9时 | 9点,分针指向12表示整时，时针指向9就是9时。,,,,,,,
MPPQ-064,P1,lower,fill-in,Foundation,第115小组：计算：35+21=？,,56,56,按位计算可得：35+21=56。,,,,,,,
MPPQ-065,P1,lower,fill-in,Core,计算12-7时，先把12分成10和2，先算10-7=3，再算3+2=5。这种方法是______。,,破十法,破十法 | 破十法（或平十法）,把十几的数分成10和几，先用10减去减数，再加上剩下的几，这种方法叫做破十法。,,,,,,,
MPPQ-066,P1,lower,short-answer,Challenge,第197小组：班级统计红卡5张、蓝卡9张、绿卡5张，数量最多的是几张？,,9,9,比较三个数量，最大的是9张。,,,,,,,
MPPQ-067,P1,lower,fill-in,Foundation,小华有一些硬币：1元、5角、1角各一枚。他想买一支8角的铅笔，他可以怎样付钱？请写出一种付钱方法。,,付1元，找回2角,付1元，找回2角 | 付5角和3个1角 | 付5角加3角,铅笔8角，可以用1元（10角）付，找回2角；或者用5角加3个1角（共8角）正好付。,,,,,,,
MPPQ-068,P1,lower,short-answer,Core,第179小组：班级统计红卡7张、蓝卡9张、绿卡6张，数量最多的是几张？,,9,9,比较三个数量，最大的是9张。,,,,,,,
MPPQ-069,P1,lower,multiple-choice,Challenge,一个两位数，十位上的数字是6，个位上的数字比十位上的数字小2。这个数是多少？,68 | 64 | 62 | 46,64,64,十位是6，个位比十位小2，个位是6-2=4，所以这个数是64。选项68的个位比十位大2；62的个位比十位小4；46的十位是4，不符合。,,,,,,,
MPPQ-070,P1,upper,fill-in,Foundation,图书角摆着一个模型，特点是：上下两个面都是圆形。请选择它的名称。,,圆柱,圆柱,这个特征对应圆柱。,,,,,,,
MPPQ-071,P1,lower,multiple-choice,Core,小丽买一个文具盒花了8元5角，她付了10元，应找回多少钱？,1元5角 | 2元5角 | 1元 | 2元,1元5角,1元5角,10元减8元5角，先从10元里拿出1元换成10角，10元变成9元10角，减去8元5角，得1元5角。,,,,,,,
MPPQ-072,P1,upper,multiple-choice,Foundation,第13小组：一个数的组成中，总数是9，其中一部分是8，另一部分是多少？,1 | 2 | 0 | 8,1,1,用总数减去已知部分：9-8=1。,,,,,,,
MPPQ-073,P1,lower,multiple-choice,Foundation,小美用七巧板拼出了一个图形，她数了数，发现这个图形中长方形有2个，正方形有1个，三角形有3个。下面哪个图形可能是小美拼出的？,一个由2个长方形、1个正方形和3个三角形组成的图形，所有图形互不重叠 | 一个由1个长方形、2个正方形和3个三角形组成的图形，所有图形互不重叠 | 一个由2个长方形、1个正方形和4个三角形组成的图形，所有图形互不重叠 | 一个由3个长方形、1个正方形和2个三角形组成的图形，所有图形互不重叠,一个由2个长方形、1个正方形和3个三角形组成的图形，所有图形互不重叠,一个由2个长方形、1个正方形和3个三角形组成的图形，所有图形互不重叠,根据小美的描述，图形中有2个长方形、1个正方形和3个三角形。只有选项1完全符合这个数量，其他选项的数量都不对。,,,,,,,
MPPQ-074,P1,lower,fill-in,Core,第128小组：计算：76-14=？,,62,62,按位计算可得：76-14=62。,,,,,,,
MPPQ-075,P1,lower,short-answer,Core,老师给小朋友分图形卡片，有正方形、三角形、圆形三种。小明说：“我按形状分类，正方形有5张，三角形有3张，圆形有4张。”小红说：“我按颜色分类，红色有6张，蓝色有4张，黄色有2张。”请问图形卡片一共有多少张？,,12,12 | 12张,按形状分：5+3+4=12张；按颜色分：6+4+2=12张。两种分类结果相同，所以总共有12张。,,,,,,,
MPPQ-076,P1,lower,fill-in,Foundation,第116小组：计算：42-8=？,,34,34,按位计算可得：42-8=34。,,,,,,,
MPPQ-077,P1,lower,short-answer,Foundation,小明去文具店，他买了1支铅笔，付了1元，找回4角。一支铅笔多少钱？,,6角,6角 | 6角钱,1元=10角，付10角，找回4角，铅笔价格=10角-4角=6角。,,,,,,,
MPPQ-078,P1,lower,short-answer,Challenge,第198小组：班级统计红卡6张、蓝卡5张、绿卡8张，数量最多的是几张？,,8,8,比较三个数量，最大的是8张。,,,,,,,
MPPQ-079,P1,upper,fill-in,Core,一个加数是9，另一个加数是7，和是多少？请填数字。,,16,16,9加7等于16，所以和是16。,,,,,,,
MPPQ-080,P1,lower,short-answer,Core,第180小组：班级统计红卡3张、蓝卡5张、绿卡4张，数量最多的是几张？,,5,5,比较三个数量，最大的是5张。,,,,,,,
MPPQ-081,P2,lower,fill-in,Challenge,用竖式计算 47÷5。,,47÷5=9……2,47÷5=9……2 | 9……2 | 9余2,竖式：商9，5×9=45，47-45=2，余数2比除数5小。,,,,,,,
MPPQ-082,P2,lower,fill-in,Core,第144小组：把24个物品按每组6个分组，商和余数是多少？,,4,4,6x4+0=24，所以结果是4。,,,,,,,
MPPQ-083,P2,lower,fill-in,Core,写出下面各数约等于几百或几千。389≈____，5021≈____。,,"400,5000","400,5000 | 四百,五千",389的十位是8，向百位进1，约等于400；5021的百位是0，舍去百位及后面，约等于5000。,,,,,,,
MPPQ-084,P2,lower,fill-in,Foundation,第103小组：把47个物品按每组7个分组，商和余数是多少？,,6余5,6余5,7x6+5=47，所以结果是6余5。,,,,,,,
MPPQ-085,P2,lower,fill-in,Exam,用竖式计算：4056 - 1829 = ___。请填空。,,2227,2227,竖式：4056-1829，个位6-9不够减，向十位借1，十位是5退1剩4，16-9=7；十位4-2=2；百位0-8不够，向千位借1，10-8=2；千位4退1剩3，3-1=2，结果是2227。,,,,,,,
MPPQ-086,P2,lower,short-answer,Challenge,第192小组：在数1604中，百位上的数字是几？,,6,6,1604中有1个千、6个百、0个十和4个一。,,,,,,,
MPPQ-087,P2,lower,fill-in,Foundation,小明有36颗糖，他想每7颗装一袋，最多可以装满几袋？还剩几颗？,,5袋，剩1颗,5袋，剩1颗 | 5袋1颗,36 ÷ 7 = 5（袋）……1（颗），所以最多装满5袋，还剩1颗。,,,,,,,
MPPQ-088,P2,lower,short-answer,Core,第174小组：在数7208中，百位上的数字是几？,,2,2,7208中有7个千、2个百、0个十和8个一。,,,,,,,
MPPQ-089,P2,lower,multiple-choice,Challenge,有27个气球，每个小朋友分4个，最多可以分给几个小朋友？,5个 | 6个 | 7个 | 8个,6个,6个,27÷4=6……3，商6表示最多分给6个小朋友，余数3个不够再分给一人，所以最多6个。,,,,,,,
MPPQ-090,P2,upper,fill-in,Foundation,第95小组：一根彩带长50厘米，另一根比它长16厘米。另一根长多少厘米？,,66厘米,66厘米,50+16=66，所以另一根长66厘米。,,,,,,,
MPPQ-091,P2,lower,multiple-choice,Core,有 18 个气球，每 3 个扎成一束，可以扎成几束？下面哪个算式是正确的？,18÷3=6（束） | 18÷6=3（束） | 3×6=18（束） | 18-3=15（束）,18÷3=6（束）,18÷3=6（束）,求可以扎成几束，就是求18里面有几个3，用除法18÷3。想口诀三六十八，商是6。,,,,,,,
MPPQ-092,P2,upper,multiple-choice,Foundation,第4小组：有6组，每组6个，一共有多少个？,30 | 36 | 12 | 42,36,36,6个6相加，可以写成6x6=36。,,,,,,,
MPPQ-093,P2,lower,multiple-choice,Exam,一袋食盐重500克，几袋这样的食盐重2千克？,2袋 | 3袋 | 4袋 | 5袋,4袋,4袋,2千克=2000克，2000÷500=4，所以4袋食盐重2千克。注意单位换算。,,,,,,,
MPPQ-094,P2,lower,fill-in,Core,第150小组：把45个物品按每组5个分组，商和余数是多少？,,9,9,5x9+0=45，所以结果是9。,,,,,,,
MPPQ-095,P2,lower,multiple-choice,Foundation,在算式□ ÷ 7 = 4……△中，△最大是几？,5 | 6 | 7 | 8,6,6,在有余数的除法中，余数必须比除数小，除数是7，所以余数△最大是6。,,,,,,,
MPPQ-096,P2,lower,fill-in,Foundation,第106小组：把16个物品按每组3个分组，商和余数是多少？,,5余1,5余1,3x5+1=16，所以结果是5余1。,,,,,,,
MPPQ-097,P2,lower,short-answer,Challenge,学校图书馆有故事书2914本，科技书1805本。故事书大约比科技书多多少本？请写出你的估算过程和结果。,,大约多1100本,大约多1100本 | 1100本 | 约1100本 | 大约1100本,把2914看作2900，1805看作1800，2900-1800=1100，所以大约多1100本。估算时把数看成接近的整百或整千数计算。,,,,,,,
MPPQ-098,P2,lower,short-answer,Challenge,第193小组：在数2951中，百位上的数字是几？,,9,9,2951中有2个千、9个百、5个十和1个一。,,,,,,,
MPPQ-099,P2,lower,short-answer,Core,有15支铅笔，每个笔筒放3支，可以放满几个笔筒？请写出除法算式和口诀。,,15÷3=5（个），口诀：三五十五,15÷3=5（个），口诀：三五十五 | 15÷3=5，口诀：三五十五 | 15÷3=5个，三五十五,15支铅笔，每3支一份，求份数用除法15÷3=5，想口诀三五十五，所以可以放满5个笔筒。,,,,,,,
MPPQ-100,P2,lower,short-answer,Core,第175小组：在数8555中，百位上的数字是几？,,5,5,8555中有8个千、5个百、5个十和5个一。,,,,,,,
MPPQ-101,P2,lower,short-answer,Foundation,学校图书馆有故事书1985本，科技书2037本。故事书和科技书大约一共有多少本？请估算并写出算式和结果。,,1985≈2000，2037≈2000，2000+2000=4000（本）,1985≈2000，2037≈2000，2000+2000=4000（本） | 1985估成2000，2037估成2000，2000+2000=4000 | 约4000本,估算时，1985接近2000，2037也接近2000，所以大约一共有2000+2000=4000本。,,,,,,,
MPPQ-102,P2,upper,fill-in,Foundation,第96小组：一根彩带长54厘米，另一根比它长5厘米。另一根长多少厘米？,,59厘米,59厘米,54+5=59，所以另一根长59厘米。,,,,,,,
MPPQ-103,P2,upper,fill-in,Core,小丽说：“3×4和4×3的结果一样，所以它们的意思也完全一样。”你认为她说得对吗？在横线上写“对”或“错”，并简单说明理由。,,错,错,虽然3×4和4×3的结果都是12，但意义不同。3×4表示4个3相加，4×3表示3个4相加。所以小丽说得不对。,,,,,,,
MPPQ-104,P2,upper,multiple-choice,Foundation,第5小组：有7组，每组9个，一共有多少个？,63 | 16 | 70 | 54,63,63,7个9相加，可以写成7x9=63。,,,,,,,
MPPQ-105,P2,upper,fill-in,Foundation,把下面的加法算式改写成乘法算式：6 + 6 + 6 + 6 = 24，乘法算式：___ × ___ = ___，口诀：___。,,4 × 6 = 24，口诀：四六二十四,4 × 6 = 24，口诀：四六二十四 | 6 × 4 = 24，口诀：四六二十四,4个6相加，乘法算式是4×6=24或6×4=24，口诀都是四六二十四。,,,,,,,
MPPQ-106,P2,lower,fill-in,Core,第121小组：把29个物品按每组4个分组，商和余数是多少？,,7余1,7余1,4x7+1=29，所以结果是7余1。,,,,,,,
MPPQ-107,P2,upper,multiple-choice,Challenge,下面哪种测量长度的方法是正确的？,从尺子的0刻度开始量，铅笔末端对着8，铅笔长8厘米。 | 从尺子的1刻度开始量，铅笔末端对着9，铅笔长9厘米。 | 用卷尺量教室长度，结果是6厘米。 | 量数学书厚度，用米做单位。,从尺子的0刻度开始量，铅笔末端对着8，铅笔长8厘米。,从尺子的0刻度开始量，铅笔末端对着8，铅笔长8厘米。,测量时一般从0刻度开始，末端对着几就是几厘米。从1刻度开始，末端对着9，长度是8厘米。教室长用米，书厚用厘米。,,,,,,,
MPPQ-108,P2,lower,fill-in,Foundation,第107小组：把31个物品按每组4个分组，商和余数是多少？,,7余3,7余3,4x7+3=31，所以结果是7余3。,,,,,,,
MPPQ-109,P2,upper,multiple-choice,Core,下面哪种情况用乘法计算更合适？,把12个苹果平均分给4个小朋友，每人几个？ | 小明有5本书，小红比他多3本，小红有几本？ | 每盒有6支彩笔，买了4盒，一共有多少支？ | 一根绳子长20米，剪去5米，还剩多少米？,每盒有6支彩笔，买了4盒，一共有多少支？,每盒有6支彩笔，买了4盒，一共有多少支？,选项C是求4个6是多少，用乘法6×4计算。选项A用除法，选项B用加法，选项D用减法。,,,,,,,
MPPQ-110,P2,lower,short-answer,Challenge,第194小组：在数3208中，百位上的数字是几？,,2,2,3208中有3个千、2个百、0个十和8个一。,,,,,,,
MPPQ-111,P2,upper,multiple-choice,Exam,下面哪种说法是正确的？,教室的门高约2厘米。 | 课桌的长边大约有5拃，每拃约10厘米，所以课桌长约50厘米。 | 一个角的两条边越长，角就越大。 | 5×4和4×5的结果相同，但表示的意义完全相同。,课桌的长边大约有5拃，每拃约10厘米，所以课桌长约50厘米。,课桌的长边大约有5拃，每拃约10厘米，所以课桌长约50厘米。,门高约2米，不是2厘米；角的大小与边的长短无关；5×4和4×5结果相同，但意义不同，5×4表示5个4，4×5表示4个5。课桌用拃估测合理。,,,,,,,
MPPQ-112,P2,lower,short-answer,Core,第176小组：在数1802中，百位上的数字是几？,,8,8,1802中有1个千、8个百、0个十和2个一。,,,,,,,
MPPQ-113,P2,upper,multiple-choice,Foundation,下面哪个问题可以用“4×6”来解决？,小明有4支铅笔，小红有6支铅笔，两人一共有多少支铅笔？ | 每盒有4块橡皮，6盒一共有多少块橡皮？ | 妈妈买了4个苹果，又买了6个梨，一共买了多少个水果？ | 一根绳子长4米，另一根长6米，两根绳子一共长多少米？,每盒有4块橡皮，6盒一共有多少块橡皮？,每盒有4块橡皮，6盒一共有多少块橡皮？,4×6表示6个4相加。选项B是6个4，所以用乘法。其他选项都是把4和6合起来，用加法4+6=10。,,,,,,,
MPPQ-114,P2,upper,fill-in,Foundation,第98小组：一根彩带长62厘米，另一根比它长7厘米。另一根长多少厘米？,,69厘米,69厘米,62+7=69，所以另一根长69厘米。,,,,,,,
MPPQ-115,P2,upper,short-answer,Challenge,一个三角形有3个角。现在用一条直线连接其中一个角两边上的两个点，剪去这个小角，剩下的图形有几个角？画一画或写一写你的想法。,,4个角,4个角 | 4 | 四个角,这条剪线会把原来的一个角剪掉，同时在剪口处形成两个新角；另外两个角还保留着。所以剩下的图形有2个原来的角和2个新角，一共4个角。,,,,,,,
MPPQ-116,P2,upper,multiple-choice,Foundation,第6小组：有8组，每组4个，一共有多少个？,12 | 40 | 28 | 32,32,32,8个4相加，可以写成8x4=32。,,,,,,,
