questionId,ordinal,promptFrame,grade,semester,type,difficulty,topicId,family,promptZhHans,answer,independentAnswer,deterministicAnswerStatus,optionCount,correctOptionHits,multipleChoiceStatus,sourceSafetyStatus,sourceSafetyHits,exactPromptDuplicateStatus,evidenceCardCount,examPatternCardCount
pep-primary-p1-l-fi-102,11,frame-2,P1,lower,fill-in,Foundation,pep-primary-p1-lower-within-100-add-sub,addition-subtraction,种植区记录了72个作品，后来撤下15个，现在记录多少个？,57,57,pass,,,n/a,pass,,pass,1,1
pep-primary-p1-l-fi-103,12,frame-3,P1,lower,fill-in,Foundation,pep-primary-p1-lower-within-100-add-sub,addition-subtraction,一袋材料先有78个，活动中用掉20个，活动后有多少个？,58,58,pass,,,n/a,pass,,pass,1,1
pep-primary-p1-l-fi-124,13,frame-1,P1,lower,fill-in,Core,pep-primary-p1-lower-within-100-add-sub,addition-subtraction,小林原来有40张练习本，送出20张，现在有多少张？,20,20,pass,,,n/a,pass,,pass,1,1
pep-primary-p1-l-fi-147,14,frame-2,P1,lower,fill-in,Core,pep-primary-p1-lower-within-100-add-sub,addition-subtraction,手工桌记录了60个作品，后来撤下11个，现在记录多少个？,49,49,pass,,,n/a,pass,,pass,1,1
pep-primary-p1-l-fi-170,15,frame-3,P1,lower,fill-in,Core,pep-primary-p1-lower-money-data-review,time-data,活动表上写着三组人数分别是8人、6人、9人，哪一个数量最大？,9,9,pass,,,n/a,pass,,pass,1,1
pep-primary-p1-l-sa-171,16,frame-1,P1,lower,short-answer,Core,pep-primary-p1-lower-money-data-review,time-data,图书角统计红色5个、蓝色9个、绿色8个，最多的是几个？,9,9,pass,,,n/a,pass,,pass,1,1
pep-primary-p1-l-sa-172,17,frame-2,P1,lower,short-answer,Core,pep-primary-p1-lower-money-data-review,time-data,小辰整理三类卡片：甲类7个、乙类6个、丙类7个。最大数量是多少？,7,7,pass,,,n/a,pass,,pass,1,1
pep-primary-p1-l-sa-173,18,frame-3,P1,lower,short-answer,Core,pep-primary-p1-lower-money-data-review,time-data,活动表上写着三组人数分别是4人、9人、6人，哪一个数量最大？,9,9,pass,,,n/a,pass,,pass,1,1
pep-primary-p1-l-sa-181,19,frame-1,P1,lower,short-answer,Core,pep-primary-p1-lower-money-data-review,time-data,种植区统计红色8个、蓝色8个、绿色6个，最多的是几个？,8,8,pass,,,n/a,pass,,pass,1,1
pep-primary-p1-l-sa-191,20,frame-2,P1,lower,short-answer,Challenge,pep-primary-p1-lower-money-data-review,time-data,安安整理三类积木：甲类4个、乙类11个、丙类7个。最大数量是多少？,11,11,pass,,,n/a,pass,,pass,1,1
pep-primary-p1-l-sa-200,21,frame-3,P1,lower,short-answer,Challenge,pep-primary-p1-lower-money-data-review,time-data,活动表上写着三组人数分别是4人、6人、5人，哪一个数量最大？,6,6,pass,,,n/a,pass,,pass,1,1
pep-primary-p2-u-mc-001,22,frame-1,P2,upper,multiple-choice,Foundation,pep-primary-p2-upper-multiplication-arrays,multiplication,晨晨摆了8行书签，每行2个，一共有多少个？,16,16,pass,4,1,pass,pass,,pass,1,1
pep-primary-p2-u-mc-002,23,frame-2,P2,upper,multiple-choice,Foundation,pep-primary-p2-upper-multiplication-arrays,multiplication,科学桌有2个托盘，每个托盘放6个模型，一共放了多少个模型？,12,12,pass,4,1,pass,pass,,pass,1,1
pep-primary-p2-u-mc-003,24,frame-3,P2,upper,multiple-choice,Foundation,pep-primary-p2-upper-multiplication-arrays,multiplication,手工课分成4组，每组做2个作品，一共做多少个作品？,8,8,pass,4,1,pass,pass,,pass,1,1
pep-primary-p2-u-mc-031,25,frame-1,P2,upper,multiple-choice,Foundation,pep-primary-p2-upper-multiplication-arrays,multiplication,小林摆了9行纸条，每行7个，一共有多少个？,63,63,pass,4,1,pass,pass,,pass,1,1
pep-primary-p2-u-mc-061,26,frame-2,P2,upper,multiple-choice,Foundation,pep-primary-p2-upper-length-angles-observation,measurement-geometry,美术柜有一根绳子长31厘米，新绳子比它长8厘米，新绳子长多少厘米？,39厘米,39厘米,pass,4,1,pass,pass,,pass,1,1
pep-primary-p2-u-mc-090,27,frame-3,P2,upper,multiple-choice,Foundation,pep-primary-p2-upper-length-angles-observation,measurement-geometry,手工桌上的蓝条长83厘米，红条比蓝条长14厘米。红条长多少厘米？,97厘米,97厘米,pass,4,1,pass,pass,,pass,1,1
pep-primary-p2-u-fi-091,28,frame-1,P2,upper,fill-in,Foundation,pep-primary-p2-upper-length-angles-observation,measurement-geometry,乐乐量到一条纸带长23厘米，另一条比它长16厘米。另一条长多少厘米？,39厘米,39厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p2-u-fi-092,29,frame-2,P2,upper,fill-in,Foundation,pep-primary-p2-upper-length-angles-observation,measurement-geometry,运动场有一根绳子长28厘米，新绳子比它长6厘米，新绳子长多少厘米？,34厘米,34厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p2-u-fi-093,30,frame-3,P2,upper,fill-in,Foundation,pep-primary-p2-upper-length-angles-observation,measurement-geometry,手工桌上的蓝条长33厘米，红条比蓝条长8厘米。红条长多少厘米？,41厘米,41厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p2-u-fi-094,31,frame-1,P2,upper,fill-in,Foundation,pep-primary-p2-upper-length-angles-observation,measurement-geometry,浩浩量到一条纸带长38厘米，另一条比它长10厘米。另一条长多少厘米？,48厘米,48厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p2-u-fi-097,32,frame-2,P2,upper,fill-in,Foundation,pep-primary-p2-upper-length-angles-observation,measurement-geometry,图书角有一根绳子长51厘米，新绳子比它长14厘米，新绳子长多少厘米？,65厘米,65厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p2-u-fi-100,33,frame-3,P2,upper,fill-in,Foundation,pep-primary-p2-upper-length-angles-observation,measurement-geometry,手工桌上的蓝条长64厘米，红条比蓝条长6厘米。红条长多少厘米？,70厘米,70厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p2-l-fi-102,34,frame-1,P2,lower,fill-in,Foundation,pep-primary-p2-lower-division-remainder,division-remainder,晨晨把39张彩笔按每4张一份整理，商和余数是多少？,9余3,9余3,pass,,,n/a,pass,,pass,1,1
pep-primary-p2-l-fi-104,35,frame-2,P2,lower,fill-in,Foundation,pep-primary-p2-lower-division-remainder,division-remainder,种植区有54个材料，每7个装一袋，可以装几袋，还剩几个？,7余5,7余5,pass,,,n/a,pass,,pass,1,1
pep-primary-p2-l-fi-112,36,frame-3,P2,lower,fill-in,Foundation,pep-primary-p2-lower-division-remainder,division-remainder,把7个模型平均按每组2个分组，结果怎样表示？,3余1,3余1,pass,,,n/a,pass,,pass,1,1
pep-primary-p2-l-fi-101,37,frame-1,P2,lower,fill-in,Foundation,pep-primary-p2-lower-division-remainder,division-remainder,小林把23张卡片按每6张一份整理，商和余数是多少？,3余5,3余5,pass,,,n/a,pass,,pass,1,1
pep-primary-p2-l-fi-124,38,frame-2,P2,lower,fill-in,Core,pep-primary-p2-lower-division-remainder,division-remainder,手工桌有17个材料，每2个装一袋，可以装几袋，还剩几个？,8余1,8余1,pass,,,n/a,pass,,pass,1,1
pep-primary-p2-l-fi-147,39,frame-3,P2,lower,fill-in,Core,pep-primary-p2-lower-division-remainder,division-remainder,把30个模型平均按每组5个分组，结果怎样表示？,6,6,pass,,,n/a,pass,,pass,1,1
pep-primary-p2-l-sa-171,40,frame-1,P2,lower,short-answer,Core,pep-primary-p2-lower-place-value-measurement-data,place-value-measurement,乐乐读到数3246，这个数百位上的数字是几？,2,2,pass,,,n/a,pass,,pass,1,1
pep-primary-p2-l-sa-172,41,frame-2,P2,lower,short-answer,Core,pep-primary-p2-lower-place-value-measurement-data,place-value-measurement,统计表中有一个数5604，请写出它百位上的数字。,6,6,pass,,,n/a,pass,,pass,1,1
pep-primary-p2-l-sa-173,42,frame-3,P2,lower,short-answer,Core,pep-primary-p2-lower-place-value-measurement-data,place-value-measurement,美术柜的编号是7062，编号中百位数字是多少？,0,0,pass,,,n/a,pass,,pass,1,1
pep-primary-p2-l-sa-181,43,frame-1,P2,lower,short-answer,Core,pep-primary-p2-lower-place-value-measurement-data,place-value-measurement,浩浩读到数8579，这个数百位上的数字是几？,5,5,pass,,,n/a,pass,,pass,1,1
pep-primary-p2-l-sa-191,44,frame-2,P2,lower,short-answer,Challenge,pep-primary-p2-lower-place-value-measurement-data,place-value-measurement,统计表中有一个数3680，请写出它百位上的数字。,6,6,pass,,,n/a,pass,,pass,1,1
pep-primary-p2-l-sa-200,45,frame-3,P2,lower,short-answer,Challenge,pep-primary-p2-lower-place-value-measurement-data,place-value-measurement,运动场的编号是5444，编号中百位数字是多少？,4,4,pass,,,n/a,pass,,pass,1,1
pep-primary-p3-u-mc-051,46,frame-1,P3,upper,multiple-choice,Foundation,pep-primary-p3-upper-measurement-time-geometry,measurement-time-geometry,晨晨从9:00开始练习口算，练习了35分钟。练习时间是多少分钟？,35分钟,35分钟,pass,4,1,pass,pass,,pass,1,1
pep-primary-p3-u-mc-052,47,frame-2,P3,upper,multiple-choice,Foundation,pep-primary-p3-upper-measurement-time-geometry,measurement-time-geometry,科学桌的小活动在11:00开始，持续41分钟。活动持续了多久？,41分钟,41分钟,pass,4,1,pass,pass,,pass,1,1
pep-primary-p3-u-mc-053,48,frame-3,P3,upper,multiple-choice,Foundation,pep-primary-p3-upper-measurement-time-geometry,measurement-time-geometry,阅读时间从8:00开始，记录表写着持续47分钟。持续时间是多少？,47分钟,47分钟,pass,4,1,pass,pass,,pass,1,1
pep-primary-p3-u-mc-001,49,frame-1,P3,upper,multiple-choice,Foundation,pep-primary-p3-upper-operations-fractions,operations-fractions,小林把一张纸平均分成8份，涂色7份。涂色部分占几分之几？,7/8,7/8,pass,4,1,pass,pass,,pass,1,1
pep-primary-p3-u-mc-026,50,frame-2,P3,upper,multiple-choice,Foundation,pep-primary-p3-upper-operations-fractions,operations-fractions,一个图形平均分为4份，其中2份做了标记。标记部分用分数怎样表示？,2/4,2/4,pass,4,1,pass,pass,,pass,1,1
pep-primary-p3-u-mc-075,51,frame-3,P3,upper,multiple-choice,Foundation,pep-primary-p3-upper-measurement-time-geometry,measurement-time-geometry,阅读时间从8:00开始，记录表写着持续40分钟。持续时间是多少？,40分钟,40分钟,pass,4,1,pass,pass,,pass,1,1
pep-primary-p3-u-fi-076,52,frame-1,P3,upper,fill-in,Foundation,pep-primary-p3-upper-measurement-time-geometry,measurement-time-geometry,乐乐从10:00开始练习口算，练习了46分钟。练习时间是多少分钟？,46分钟,46分钟,pass,,,n/a,pass,,pass,1,1
pep-primary-p3-u-fi-077,53,frame-2,P3,upper,fill-in,Foundation,pep-primary-p3-upper-measurement-time-geometry,measurement-time-geometry,运动场的小活动在12:00开始，持续52分钟。活动持续了多久？,52分钟,52分钟,pass,,,n/a,pass,,pass,1,1
pep-primary-p3-u-fi-078,54,frame-3,P3,upper,fill-in,Foundation,pep-primary-p3-upper-measurement-time-geometry,measurement-time-geometry,阅读时间从9:00开始，记录表写着持续18分钟。持续时间是多少？,18分钟,18分钟,pass,,,n/a,pass,,pass,1,1
pep-primary-p3-u-fi-084,55,frame-1,P3,upper,fill-in,Core,pep-primary-p3-upper-measurement-time-geometry,measurement-time-geometry,浩浩从11:00开始练习口算，练习了49分钟。练习时间是多少分钟？,49分钟,49分钟,pass,,,n/a,pass,,pass,1,1
pep-primary-p3-u-fi-092,56,frame-2,P3,upper,fill-in,Core,pep-primary-p3-upper-measurement-time-geometry,measurement-time-geometry,图书角的小活动在10:00开始，持续50分钟。活动持续了多久？,50分钟,50分钟,pass,,,n/a,pass,,pass,1,1
pep-primary-p3-u-fi-100,57,frame-3,P3,upper,fill-in,Core,pep-primary-p3-upper-measurement-time-geometry,measurement-time-geometry,阅读时间从9:00开始，记录表写着持续51分钟。持续时间是多少？,51分钟,51分钟,pass,,,n/a,pass,,pass,1,1
pep-primary-p3-l-fi-101,58,frame-1,P3,lower,fill-in,Core,pep-primary-p3-lower-area-decimals,area-decimals,晨晨画了一个长方形，长8厘米、宽3厘米。面积是多少？,24平方厘米,24平方厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p3-l-fi-102,59,frame-2,P3,lower,fill-in,Core,pep-primary-p3-lower-area-decimals,area-decimals,种植区有一张长方形标签，长10厘米、宽6厘米。标签面积是多少？,60平方厘米,60平方厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p3-l-fi-103,60,frame-3,P3,lower,fill-in,Core,pep-primary-p3-lower-area-decimals,area-decimals,一块长方形纸板长3厘米、宽3厘米，它的面积是多少平方厘米？,9平方厘米,9平方厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p3-l-fi-117,61,frame-1,P3,lower,fill-in,Core,pep-primary-p3-lower-area-decimals,area-decimals,小林画了一个长方形，长9厘米、宽2厘米。面积是多少？,18平方厘米,18平方厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p3-l-fi-134,62,frame-2,P3,lower,fill-in,Core,pep-primary-p3-lower-area-decimals,area-decimals,手工桌有一张长方形标签，长9厘米、宽7厘米。标签面积是多少？,63平方厘米,63平方厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p3-l-fi-150,63,frame-3,P3,lower,fill-in,Core,pep-primary-p3-lower-area-decimals,area-decimals,一块长方形纸板长8厘米、宽4厘米，它的面积是多少平方厘米？,32平方厘米,32平方厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p3-l-sa-152,64,frame-1,P3,lower,short-answer,Core,pep-primary-p3-lower-statistics-review,statistics-review,乐乐三次跳绳成绩是12下、14下、16下，平均每次多少下？,14,14,pass,,,n/a,pass,,pass,1,1
pep-primary-p3-l-sa-153,65,frame-2,P3,lower,short-answer,Core,pep-primary-p3-lower-statistics-review,statistics-review,小辰在数学角整理三盒彩笔，分别有6支、8支、10支，平均每盒有多少支？,8,8,pass,,,n/a,pass,,pass,1,1
pep-primary-p3-l-sa-154,66,frame-3,P3,lower,short-answer,Core,pep-primary-p3-lower-statistics-review,statistics-review,美术柜记录了三组数据：8、10、12。这三个数的平均数是多少？,10,10,pass,,,n/a,pass,,pass,1,1
pep-primary-p3-l-sa-151,67,frame-1,P3,lower,short-answer,Core,pep-primary-p3-lower-statistics-review,statistics-review,浩浩三次跳绳成绩是6下、8下、10下，平均每次多少下？,8,8,pass,,,n/a,pass,,pass,1,1
pep-primary-p3-l-sa-167,68,frame-2,P3,lower,short-answer,Core,pep-primary-p3-lower-statistics-review,statistics-review,安安在阅读区整理三盒彩笔，分别有7支、9支、11支，平均每盒有多少支？,9,9,pass,,,n/a,pass,,pass,1,1
pep-primary-p3-l-sa-184,69,frame-3,P3,lower,short-answer,Challenge,pep-primary-p3-lower-statistics-review,statistics-review,运动场记录了三组数据：9、11、13。这三个数的平均数是多少？,11,11,pass,,,n/a,pass,,pass,1,1
pep-primary-p4-u-mc-001,70,frame-1,P4,upper,multiple-choice,Foundation,pep-primary-p4-upper-large-numbers-multiplication,large-numbers-multiplication,手工桌每箱有29本练习本，准备33箱，一共有多少本？,957,957,pass,4,1,pass,pass,,pass,1,1
pep-primary-p4-u-mc-002,71,frame-2,P4,upper,multiple-choice,Foundation,pep-primary-p4-upper-large-numbers-multiplication,large-numbers-multiplication,佳佳统计每排13个座位，共37排，一共有多少个座位？,481,481,pass,4,1,pass,pass,,pass,1,1
pep-primary-p4-u-mc-003,72,frame-3,P4,upper,multiple-choice,Foundation,pep-primary-p4-upper-large-numbers-multiplication,large-numbers-multiplication,仓库每包有15张卡片，41包共有多少张卡片？,615,615,pass,4,1,pass,pass,,pass,1,1
pep-primary-p4-u-mc-026,73,frame-1,P4,upper,multiple-choice,Foundation,pep-primary-p4-upper-large-numbers-multiplication,large-numbers-multiplication,数学角每箱有21本练习本，准备21箱，一共有多少本？,441,441,pass,4,1,pass,pass,,pass,1,1
pep-primary-p4-u-mc-051,74,frame-2,P4,upper,multiple-choice,Foundation,pep-primary-p4-upper-angles-geometry,angles-geometry,一条直线上的两个相邻角和为180°，已知一个角是138°，另一个角是多少？,42°,42°,pass,4,1,pass,pass,,pass,1,1
pep-primary-p4-u-mc-075,75,frame-3,P4,upper,multiple-choice,Foundation,pep-primary-p4-upper-angles-geometry,angles-geometry,种植区的角度卡显示一个角为39°，它的邻补角是多少度？,141°,141°,pass,4,1,pass,pass,,pass,1,1
pep-primary-p4-u-fi-076,76,frame-1,P4,upper,fill-in,Foundation,pep-primary-p4-upper-angles-geometry,angles-geometry,乐乐画了两个组成平角的角，其中一个是45°，另一个是多少度？,135°,135°,pass,,,n/a,pass,,pass,1,1
pep-primary-p4-u-fi-077,77,frame-2,P4,upper,fill-in,Foundation,pep-primary-p4-upper-angles-geometry,angles-geometry,一条直线上的两个相邻角和为180°，已知一个角是51°，另一个角是多少？,129°,129°,pass,,,n/a,pass,,pass,1,1
pep-primary-p4-u-fi-078,78,frame-3,P4,upper,fill-in,Foundation,pep-primary-p4-upper-angles-geometry,angles-geometry,手工桌的角度卡显示一个角为57°，它的邻补角是多少度？,123°,123°,pass,,,n/a,pass,,pass,1,1
pep-primary-p4-u-fi-084,79,frame-1,P4,upper,fill-in,Core,pep-primary-p4-upper-angles-geometry,angles-geometry,浩浩画了两个组成平角的角，其中一个是88°，另一个是多少度？,92°,92°,pass,,,n/a,pass,,pass,1,1
pep-primary-p4-u-fi-092,80,frame-2,P4,upper,fill-in,Core,pep-primary-p4-upper-angles-geometry,angles-geometry,一条直线上的两个相邻角和为180°，已知一个角是129°，另一个角是多少？,51°,51°,pass,,,n/a,pass,,pass,1,1
pep-primary-p4-u-fi-100,81,frame-3,P4,upper,fill-in,Core,pep-primary-p4-upper-angles-geometry,angles-geometry,数学角的角度卡显示一个角为60°，它的邻补角是多少度？,120°,120°,pass,,,n/a,pass,,pass,1,1
pep-primary-p4-l-fi-108,82,frame-1,P4,lower,fill-in,Core,pep-primary-p4-lower-decimals-average,decimals-average,晨晨量到两段彩带分别长1米和2米，一共长多少米？,3,3,pass,,,n/a,pass,,pass,1,1
pep-primary-p4-l-fi-117,83,frame-2,P4,lower,fill-in,Core,pep-primary-p4-lower-decimals-average,decimals-average,种植区记录两次用水量为1.1升和2.1升，合计多少升？,3.2,3.2,pass,,,n/a,pass,,pass,1,1
pep-primary-p4-l-fi-126,84,frame-3,P4,lower,fill-in,Core,pep-primary-p4-lower-decimals-average,decimals-average,两盒彩泥质量分别是1.2千克和2.2千克，总质量是多少千克？,3.4,3.4,pass,,,n/a,pass,,pass,1,1
pep-primary-p4-l-fi-101,85,frame-1,P4,lower,fill-in,Core,pep-primary-p4-lower-decimals-average,decimals-average,小林量到两段彩带分别长1.5米和2.7米，一共长多少米？,4.2,4.2,pass,,,n/a,pass,,pass,1,1
pep-primary-p4-l-fi-134,86,frame-2,P4,lower,fill-in,Core,pep-primary-p4-lower-decimals-average,decimals-average,手工桌记录两次用水量为1.3升和2.2升，合计多少升？,3.5,3.5,pass,,,n/a,pass,,pass,1,1
pep-primary-p4-l-fi-150,87,frame-3,P4,lower,fill-in,Core,pep-primary-p4-lower-decimals-average,decimals-average,两盒彩泥质量分别是1.2千克和2.8千克，总质量是多少千克？,4,4,pass,,,n/a,pass,,pass,1,1
pep-primary-p4-l-sa-151,88,frame-1,P4,lower,short-answer,Core,pep-primary-p4-lower-perimeter-area-lines,perimeter-area-lines,乐乐给长9厘米、宽7厘米的长方形卡片贴边框，边框长多少厘米？,32厘米,32厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p4-l-sa-152,89,frame-2,P4,lower,short-answer,Core,pep-primary-p4-lower-perimeter-area-lines,perimeter-area-lines,数学角有一块长方形展示板，长11厘米、宽3厘米，周长是多少？,28厘米,28厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p4-l-sa-153,90,frame-3,P4,lower,short-answer,Core,pep-primary-p4-lower-perimeter-area-lines,perimeter-area-lines,一张长方形纸长13厘米、宽6厘米，沿边走一圈是多少厘米？,38厘米,38厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p4-l-sa-167,91,frame-1,P4,lower,short-answer,Core,pep-primary-p4-lower-perimeter-area-lines,perimeter-area-lines,浩浩给长10厘米、宽7厘米的长方形卡片贴边框，边框长多少厘米？,34厘米,34厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p4-l-sa-184,92,frame-2,P4,lower,short-answer,Challenge,pep-primary-p4-lower-perimeter-area-lines,perimeter-area-lines,阅读区有一块长方形展示板，长10厘米、宽7厘米，周长是多少？,34厘米,34厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p4-l-sa-200,93,frame-3,P4,lower,short-answer,Challenge,pep-primary-p4-lower-perimeter-area-lines,perimeter-area-lines,一张长方形纸长9厘米、宽5厘米，沿边走一圈是多少厘米？,28厘米,28厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p5-u-mc-016,94,frame-1,P5,upper,multiple-choice,Foundation,pep-primary-p5-upper-decimals-equations,decimals-equations,晨晨买了6本同价练习本，又买了10元的书签，共用58元。每本练习本多少元？,8,8,pass,4,1,pass,pass,,pass,1,1
pep-primary-p5-u-mc-036,95,frame-2,P5,upper,multiple-choice,Foundation,pep-primary-p5-upper-decimals-equations,decimals-equations,一个数乘2再加8等于26，这个数是多少？,9,9,pass,4,1,pass,pass,,pass,1,1
pep-primary-p5-u-mc-040,96,frame-3,P5,upper,multiple-choice,Foundation,pep-primary-p5-upper-decimals-equations,decimals-equations,图书角的等量关系是2x+12=32，求x的值。,10,10,pass,4,1,pass,pass,,pass,1,1
pep-primary-p5-u-mc-001,97,frame-1,P5,upper,multiple-choice,Foundation,pep-primary-p5-upper-decimals-equations,decimals-equations,小林买了4本同价练习本，又买了4元的书签，共用24元。每本练习本多少元？,5,5,pass,4,1,pass,pass,,pass,1,1
pep-primary-p5-u-mc-021,98,frame-2,P5,upper,multiple-choice,Foundation,pep-primary-p5-upper-decimals-equations,decimals-equations,一个数乘5再加11等于41，这个数是多少？,6,6,pass,4,1,pass,pass,,pass,1,1
pep-primary-p5-u-mc-041,99,frame-3,P5,upper,multiple-choice,Foundation,pep-primary-p5-upper-decimals-equations,decimals-equations,种植区的等量关系是6x+9=51，求x的值。,7,7,pass,4,1,pass,pass,,pass,1,1
pep-primary-p5-u-fi-061,100,frame-1,P5,upper,fill-in,Core,pep-primary-p5-upper-polygon-area,polygon-area,乐乐剪出一个三角形，底是6厘米，高是9厘米，面积是多少？,27平方厘米,27平方厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p5-u-fi-062,101,frame-2,P5,upper,fill-in,Core,pep-primary-p5-upper-polygon-area,polygon-area,运动场展示的三角形标着底8厘米、高4厘米。它的面积是多少？,16平方厘米,16平方厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p5-u-fi-063,102,frame-3,P5,upper,fill-in,Core,pep-primary-p5-upper-polygon-area,polygon-area,一块三角形纸板的底为10厘米，高为7厘米，面积是多少平方厘米？,35平方厘米,35平方厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p5-u-fi-074,103,frame-1,P5,upper,fill-in,Core,pep-primary-p5-upper-polygon-area,polygon-area,浩浩剪出一个三角形，底是12厘米，高是6厘米，面积是多少？,36平方厘米,36平方厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p5-u-fi-087,104,frame-2,P5,upper,fill-in,Core,pep-primary-p5-upper-polygon-area,polygon-area,图书角展示的三角形标着底6厘米、高9厘米。它的面积是多少？,27平方厘米,27平方厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p5-u-fi-100,105,frame-3,P5,upper,fill-in,Core,pep-primary-p5-upper-polygon-area,polygon-area,一块三角形纸板的底为10厘米，高为4厘米，面积是多少平方厘米？,20平方厘米,20平方厘米,pass,,,n/a,pass,,pass,1,1
pep-primary-p5-l-fi-101,106,frame-1,P5,lower,fill-in,Core,pep-primary-p5-lower-factors-fractions,factors-fractions,晨晨先完成3/8页练习，又完成2/8页，一共完成几分之几页？,5/8,5/8,pass,,,n/a,pass,,pass,1,1
pep-primary-p5-l-fi-102,107,frame-2,P5,lower,fill-in,Core,pep-primary-p5-lower-factors-fractions,factors-fractions,两段同样长的纸带分别占全长的2/10和2/10，合起来是多少？,2/5,2/5,pass,,,n/a,pass,,pass,1,1
pep-primary-p5-l-fi-103,108,frame-3,P5,lower,fill-in,Core,pep-primary-p5-lower-factors-fractions,factors-fractions,阅读区的记录显示两次用料为1/6包和2/6包，一共用了多少包？,1/2,1/2,pass,,,n/a,pass,,pass,1,1
pep-primary-p5-l-fi-111,109,frame-1,P5,lower,fill-in,Core,pep-primary-p5-lower-factors-fractions,factors-fractions,小林先完成1/9页练习，又完成1/9页，一共完成几分之几页？,2/9,2/9,pass,,,n/a,pass,,pass,1,1
pep-primary-p5-l-fi-121,110,frame-2,P5,lower,fill-in,Core,pep-primary-p5-lower-factors-fractions,factors-fractions,两段同样长的纸带分别占全长的3/8和1/8，合起来是多少？,1/2,1/2,pass,,,n/a,pass,,pass,1,1
